poem_name,poet_name,poem_number,line_number,english_pronounciation,Line_Original,meaning_of_line,tamil_meaning_of_line,tinai,Word_Original,Hierarchical_Entity_Tag,important_entity
Aiṅkuṟunūṟu,Unknown,1,4,ciṉaiya,நனைய காஞ்சிச் சினைய சிறுமீன்,The wet (blooming) kāñci flowers (and) the fatty small fish.,"ஈரமான (மலர்ந்த) காஞ்சிப் பூக்களும், கொழுத்த சிறு மீன்களும்",Marutham,சினைய,QUALITY_FATTY,yes
Aiṅkuṟunūṟu,Unknown,1,4,ciṟumīṉ,நனைய காஞ்சிச் சினைய சிறுமீன்,The wet (blooming) kāñci flowers (and) the fatty small fish.,"ஈரமான (மலர்ந்த) காஞ்சிப் பூக்களும், கொழுத்த சிறு மீன்களும்",Marutham,சிறுமீன்,ANIMAL_SMALL_FISH,yes
Aiṅkuṟunūṟu,Unknown,1,5,yāṇar,யாணர் ஊரன் வாழ்க,Long live Ūraṉ of the new (bountiful) harvest!,புதுவளம் கொண்ட ஊரன் வாழ்க!,Marutham,யாணர்,TIME_NEW_HARVEST,yes
Aiṅkuṟunūṟu,Unknown,1,5,ūraṉ,யாணர் ஊரன் வாழ்க,Long live Ūraṉ of the new (bountiful) harvest!,புதுவளம் கொண்ட ஊரன் வாழ்க!,Marutham,ஊரன்,PERSON_CHIEFTAIN,yes
Aiṅkuṟunūṟu,Unknown,1,5,vāḻka,யாணர் ஊரன் வாழ்க,Long live Ūraṉ of the new (bountiful) harvest!,புதுவளம் கொண்ட ஊரன் வாழ்க!,Marutham,வாழ்க,ACTION_LIVE_LONG,yes
Aiṅkuṟunūṟu,Unknown,1,6,pāṉaṉum,பாணனும் வாழ்க எனவேட் டேமே.,Long live the pāṇaṉ too! thus we longed-for.,பாணனும் வாழ்க! என்று நாங்கள் விரும்பினோம்.,Marutham,பாணனும்,PERSON_BARD,yes
Aiṅkuṟunūṟu,Unknown,1,6,vāḻka,பாணனும் வாழ்க எனவேட் டேமே.,Long live the pāṇaṉ too! thus we longed-for.,பாணனும் வாழ்க! என்று நாங்கள் விரும்பினோம்.,Marutham,வாழ்க,ACTION_LIVE_LONG,yes
Aiṅkuṟunūṟu,Unknown,1,6,eṉavēṭ,பாணனும் வாழ்க எனவேட் டேமே.,Long live the pāṇaṉ too! thus we longed-for.,பாணனும் வாழ்க! என்று நாங்கள் விரும்பினோம்.,Marutham,எனவேட்,ACTION_DESIRE,yes
Aiṅkuṟunūṟu,Unknown,1,6,ṭēmē,பாணனும் வாழ்க எனவேட் டேமே.,Long live the pāṇaṉ too! thus we longed-for.,பாணனும் வாழ்க! என்று நாங்கள் விரும்பினோம்.,Marutham,டேமே,PRONOUN_WE,no
Aiṅkuṟunūṟu,Unknown,1,7,vāḻi,வாழி ஆதன் வாழி அவினி,Long live Ātaṉ! Long live Aviṉi!,வாழ்க ஆதன்! வாழ்க அவினி!,Marutham,வாழி,ACTION_BLESS,yes
Aiṅkuṟunūṟu,Unknown,1,7,ātaṉ,வாழி ஆதன் வாழி அவினி,Long live Ātaṉ! Long live Aviṉi!,வாழ்க ஆதன்! வாழ்க அவினி!,Marutham,ஆதன்,PERSON_NAME,yes
Aiṅkuṟunūṟu,Unknown,1,7,vāḻi,வாழி ஆதன் வாழி அவினி,Long live Ātaṉ! Long live Aviṉi!,வாழ்க ஆதன்! வாழ்க அவினி!,Marutham,வாழி,ACTION_BLESS,yes
Aiṅkuṟunūṟu,Unknown,1,7,aviṉi,வாழி ஆதன் வாழி அவினி,Long live Ātaṉ! Long live Aviṉi!,வாழ்க ஆதன்! வாழ்க அவினி!,Marutham,அவினி,PERSON_NAME,yes
Aiṅkuṟunūṟu,Unknown,1,8,viḻaika,விளைக வயலே வருக இரவலர்,May the fields flourish! May the supplicants come!,வயல்கள் விளைந்து செழிக்கட்டும்! இரவலர்கள் (பரிசில் பெற) வருக!,Marutham,விளைக,ACTION_FLOURISH,yes
Aiṅkuṟunūṟu,Unknown,1,8,vayalē,விளைக வயலே வருக இரவலர்,May the fields flourish! May the supplicants come!,வயல்கள் விளைந்து செழிக்கட்டும்! இரவலர்கள் (பரிசில் பெற) வருக!,Marutham,வயலே,LANDFORM_FIELD,yes
Aiṅkuṟunūṟu,Unknown,1,8,varuka,விளைக வயலே வருக இரவலர்,May the fields flourish! May the supplicants come!,வயல்கள் விளைந்து செழிக்கட்டும்! இரவலர்கள் (பரிசில் பெற) வருக!,Marutham,வருக,ACTION_COME,yes
Aiṅkuṟunūṟu,Unknown,1,8,iravalar,விளைக வயலே வருக இரவலர்,May the fields flourish! May the supplicants come!,வயல்கள் விளைந்து செழிக்கட்டும்! இரவலர்கள் (பரிசில் பெற) வருக!,Marutham,இரவலர்,PERSON_SUPPLICANT,yes
Aiṅkuṟunūṟu,Unknown,1,9,eṉavēṭ,எனவேட் டோளே யாயே யாமே,Thus longed-for (was) my mother; thus longed-for (were) we.,என்று விரும்பினாள் என் தாய்; என்று நாங்களும் விரும்பினோம்.,Marutham,எனவேட்,ACTION_DESIRE,yes
Aiṅkuṟunūṟu,Unknown,1,9,ṭōḷē,எனவேட் டோளே யாயே யாமே,Thus longed-for (was) my mother; thus longed-for (were) we.,என்று விரும்பினாள் என் தாய்; என்று நாங்களும் விரும்பினோம்.,Marutham,டோளே,PRONOUN_SHE,no
Aiṅkuṟunūṟu,Unknown,1,9,yāyē,எனவேட் டோளே யாயே யாமே,Thus longed-for (was) my mother; thus longed-for (were) we.,என்று விரும்பினாள் என் தாய்; என்று நாங்களும் விரும்பினோம்.,Marutham,யாயே,KINSHIP_MOTHER,yes
Aiṅkuṟunūṟu,Unknown,1,9,yāmē,எனவேட் டோளே யாயே யாமே,Thus longed-for (was) my mother; thus longed-for (were) we.,என்று விரும்பினாள் என் தாய்; என்று நாங்களும் விரும்பினோம்.,Marutham,யாமே,PRONOUN_WE,no
Aiṅkuṟunūṟu,Unknown,1,10,pallital,பல்லிதல் நீலமொடு நெய்தல் நிகர்க்கும்,The many glittering (flowers) rival the blue water lilies and the neytal flowers.,பளிங்கு போல ஒளிரும் பல (மலர்களும்) நீல மலருடனும் நெய்தலுடனும் ஒப்பாகும்,Marutham,பல்லிதல்,QUALITY_GLITTERING,yes
Aiṅkuṟunūṟu,Unknown,1,10,nīlamoṭu,பல்லிதல் நீலமொடு நெய்தல் நிகர்க்கும்,The many glittering (flowers) rival the blue water lilies and the neytal flowers.,பளிங்கு போல ஒளிரும் பல (மலர்களும்) நீல மலருடனும் நெய்தலுடனும் ஒப்பாகும்,Marutham,நீலமொடு,FLOWER_BLUE_LILY,yes
Aiṅkuṟunūṟu,Unknown,1,10,neytal,பல்லிதல் நீலமொடு நெய்தல் நிகர்க்கும்,The many glittering (flowers) rival the blue water lilies and the neytal flowers.,பளிங்கு போல ஒளிரும் பல (மலர்களும்) நீல மலருடனும் நெய்தலுடனும் ஒப்பாகும்,Marutham,நெய்தல்,FLOWER_NEYTAL,yes
Aiṅkuṟunūṟu,Unknown,1,10,nikarkkum,பல்லிதல் நீலமொடு நெய்தல் நிகர்க்கும்,The many glittering (flowers) rival the blue water lilies and the neytal flowers.,பளிங்கு போல ஒளிரும் பல (மலர்களும்) நீல மலருடனும் நெய்தலுடனும் ஒப்பாகும்,Marutham,நிகர்க்கும்,ACTION_RIVAL,yes
Aiṅkuṟunūṟu,Unknown,1,11,taṇtuṟai,தண்துறை யூரன் கேண்மை,The friendship of Ūraṉ of the cool ford.,குளிர்ந்த துறையூரானின் நட்பு,Marutham,தண்துறை,LANDFORM_COOL_FORD,yes
Aiṅkuṟunūṟu,Unknown,1,11,yūraṉ,தண்துறை யூரன் கேண்மை,The friendship of Ūraṉ of the cool ford.,குளிர்ந்த துறையூரானின் நட்பு,Marutham,யூரன்,PERSON_CHIEFTAIN,yes
Aiṅkuṟunūṟu,Unknown,1,11,kēṇmai,தண்துறை யூரன் கேண்மை,The friendship of Ūraṉ of the cool ford.,குளிர்ந்த துறையூரானின் நட்பு,Marutham,கேண்மை,EMOTION_FRIENDSHIP,yes
Aiṅkuṟunūṟu,Unknown,1,12,vaḻivḻic,வழிவ்ழிச் சிறக்க எனவேட் டேமே.,May (our friendship with him) flourish from generation to generation! thus we longed-for.,தலைமுறை தலைமுறையாக (அவனுடைய நட்பு) சிறக்க! என்று நாங்கள் விரும்பினோம்.,Marutham,வழிவ்ழிச்,TIME_GENERATION,yes
Aiṅkuṟunūṟu,Unknown,1,12,ciṟakka,வழிவ்ழிச் சிறக்க எனவேட் டேமே.,May (our friendship with him) flourish from generation to generation! thus we longed-for.,தலைமுறை தலைமுறையாக (அவனுடைய நட்பு) சிறக்க! என்று நாங்கள் விரும்பினோம்.,Marutham,சிறக்க,ACTION_FLOURISH,yes
Aiṅkuṟunūṟu,Unknown,1,12,eṉavēṭ,வழிவ்ழிச் சிறக்க எனவேட் டேமே.,May (our friendship with him) flourish from generation to generation! thus we longed-for.,தலைமுறை தலைமுறையாக (அவனுடைய நட்பு) சிறக்க! என்று நாங்கள் விரும்பினோம்.,Marutham,எனவேட்,ACTION_DESIRE,yes
Aiṅkuṟunūṟu,Unknown,1,12,ṭēmē,வழிவ்ழிச் சிறக்க எனவேட் டேமே.,May (our friendship with him) flourish from generation to generation! thus we longed-for.,தலைமுறை தலைமுறையாக (அவனுடைய நட்பு) சிறக்க! என்று நாங்கள் விரும்பினோம்.,Marutham,டேமே,PRONOUN_WE,no
Aiṅkuṟunūṟu,Unknown,1,13,vāḻi,வாழி ஆதன் வாழி அவினி,Long live Ātaṉ! Long live Aviṉi!,வாழ்க ஆதன்! வாழ்க அவினி!,Marutham,வாழி,ACTION_BLESS,yes
Aiṅkuṟunūṟu,Unknown,1,13,ātaṉ,வாழி ஆதன் வாழி அவினி,Long live Ātaṉ! Long live Aviṉi!,வாழ்க ஆதன்! வாழ்க அவினி!,Marutham,ஆதன்,PERSON_NAME,yes
Aiṅkuṟunūṟu,Unknown,1,13,vāḻi,வாழி ஆதன் வாழி அவினி,Long live Ātaṉ! Long live Aviṉi!,வாழ்க ஆதன்! வாழ்க அவினி!,Marutham,வாழி,ACTION_BLESS,yes
Aiṅkuṟunūṟu,Unknown,1,13,aviṉi,வாழி ஆதன் வாழி அவினி,Long live Ātaṉ! Long live Aviṉi!,வாழ்க ஆதன்! வாழ்க அவினி!,Marutham,அவினி,PERSON_NAME,yes
Aiṅkuṟunūṟu,Unknown,1,14,pālpaṟa,பால்பல ஊறுக பகடுபல சிறக்க,May many milks flow (abundantly)! May many cattle flourish!,பால் பலவாக ஊறுவதாக! பகடுகள் (எருதுகள்) பலவாகச் சிறப்பதாக!,Marutham,பால்பல,FOOD_MILK_ABUNDANCE,yes
Aiṅkuṟunūṟu,Unknown,1,14,ūṟuka,பால்பல ஊறுக பகடுபல சிறக்க,May many milks flow (abundantly)! May many cattle flourish!,பால் பலவாக ஊறுவதாக! பகடுகள் (எருதுகள்) பலவாகச் சிறப்பதாக!,Marutham,ஊறுக,ACTION_FLOW,yes
Aiṅkuṟunūṟu,Unknown,1,14,pakaṭupala,பால்பல ஊறுக பகடுபல சிறக்க,May many milks flow (abundantly)! May many cattle flourish!,பால் பலவாக ஊறுவதாக! பகடுகள் (எருதுகள்) பலவாகச் சிறப்பதாக!,Marutham,பகடுபல,ANIMAL_CATTLE_ABUNDANCE,yes
Aiṅkuṟunūṟu,Unknown,1,14,ciṟakka,பால்பல ஊறுக பகடுபல சிறக்க,May many milks flow (abundantly)! May many cattle flourish!,பால் பலவாக ஊறுவதாக! பகடுகள் (எருதுகள்) பலவாகச் சிறப்பதாக!,Marutham,சிறக்க,ACTION_FLOURISH,yes
Aiṅkuṟunūṟu,Unknown,1,15,eṉavēṭ,எனவேட் டோளே யாயே யாமே,Thus longed-for (was) my mother; thus longed-for (were) we.,என்று விரும்பினாள் என் தாய்; என்று நாங்களும் விரும்பினோம்.,Marutham,எனவேட்,ACTION_DESIRE,yes
Aiṅkuṟunūṟu,Unknown,1,15,ṭōḷē,எனவேட் டோளே யாயே யாமே,Thus longed-for (was) my mother; thus longed-for (were) we.,என்று விரும்பினாள் என் தாய்; என்று நாங்களும் விரும்பினோம்.,Marutham,டோளே,PRONOUN_SHE,no
Aiṅkuṟunūṟu,Unknown,1,15,yāyē,எனவேட் டோளே யாயே யாமே,Thus longed-for (was) my mother; thus longed-for (were) we.,என்று விரும்பினாள் என் தாய்; என்று நாங்களும் விரும்பினோம்.,Marutham,யாயே,KINSHIP_MOTHER,yes
Aiṅkuṟunūṟu,Unknown,1,15,yāmē,எனவேட் டோளே யாயே யாமே,Thus longed-for (was) my mother; thus longed-for (were) we.,என்று விரும்பினாள் என் தாய்; என்று நாங்களும் விரும்பினோம்.,Marutham,யாமே,PRONOUN_WE,no
Aiṅkuṟunūṟu,Unknown,1,16,vittiya,வித்திய உழவர் நெல்லோடு பெயரும்,(To the house) where the farmers who have sown return with paddy.,விதைத்த உழவர்கள் நெல்லுடன் திரும்பும் (வீடு),Marutham,வித்திய,ACTION_SOWN,yes
Aiṅkuṟunūṟu,Unknown,1,16,uḻavar,வித்திய உழவர் நெல்லோடு பெயரும்,(To the house) where the farmers who have sown return with paddy.,விதைத்த உழவர்கள் நெல்லுடன் திரும்பும் (வீடு),Marutham,உழவர்,PERSON_FARMER,yes
Aiṅkuṟunūṟu,Unknown,1,16,nellōṭu,வித்திய உழவர் நெல்லோடு பெயரும்,(To the house) where the farmers who have sown return with paddy.,விதைத்த உழவர்கள் நெல்லுடன் திரும்பும் (வீடு),Marutham,நெல்லோடு,OBJECT_PADDY,yes
Aiṅkuṟunūṟu,Unknown,1,16,peyarum,வித்திய உழவர் நெல்லோடு பெயரும்,(To the house) where the farmers who have sown return with paddy.,விதைத்த உழவர்கள் நெல்லுடன் திரும்பும் (வீடு),Marutham,பெயரும்,ACTION_RETURN,yes
Aiṅkuṟunūṟu,Unknown,1,17,pūkka,பூக்க லூரன் தன்மனை,The house of Ūraṉ of the flowering (village).,மலர்ச்சி பொருந்திய ஊரானுடைய சொந்த மனை,Marutham,பூக்க,FLOWER_BLOOMING,yes
Aiṅkuṟunūṟu,Unknown,1,17,larūraṉ,பூக்க லூரன் தன்மனை,The house of Ūraṉ of the flowering (village).,மலர்ச்சி பொருந்திய ஊரானுடைய சொந்த மனை,Marutham,லூரன்,PERSON_CHIEFTAIN,yes
Aiṅkuṟunūṟu,Unknown,1,17,taṉmaṉai,பூக்க லூரன் தன்மனை,The house of Ūraṉ of the flowering (village).,மலர்ச்சி பொருந்திய ஊரானுடைய சொந்த மனை,Marutham,தன்மனை,PLACE_HOUSE,yes
Aiṅkuṟunūṟu,Unknown,1,18,vāḻkkai,வாழ்க்கை பொலிக என்வேட் டேமே.,May (his) household life flourish! thus we longed-for.,வாழ்க்கை சிறக்க! என்று நாங்கள் விரும்பினோம்.,Marutham,வாழ்க்கை,CONCEPT_HOUSEHOLD_LIFE,yes
Aiṅkuṟunūṟu,Unknown,1,18,polika,வாழ்க்கை பொலிக என்வேட் டேமே.,May (his) household life flourish! thus we longed-for.,வாழ்க்கை சிறக்க! என்று நாங்கள் விரும்பினோம்.,Marutham,பொலிக,ACTION_FLOURISH,yes
Aiṅkuṟunūṟu,Unknown,1,18,eṉvēṭ,வாழ்க்கை பொலிக என்வேட் டேமே.,May (his) household life flourish! thus we longed-for.,வாழ்க்கை சிறக்க! என்று நாங்கள் விரும்பினோம்.,Marutham,என்வேட்,ACTION_DESIRE,yes
Aiṅkuṟunūṟu,Unknown,1,18,ṭēmē,வாழ்க்கை பொலிக என்வேட் டேமே.,May (his) household life flourish! thus we longed-for.,வாழ்க்கை சிறக்க! என்று நாங்கள் விரும்பினோம்.,Marutham,டேமே,PRONOUN_WE,no
Aiṅkuṟunūṟu,Unknown,1,19,vāḻi,வாழி ஆதன் வாழி அவினி,Long live Ātaṉ! Long live Aviṉi!,வாழ்க ஆதன்! வாழ்க அவினி!,Marutham,வாழி,ACTION_BLESS,yes
Aiṅkuṟunūṟu,Unknown,1,19,ātaṉ,வாழி ஆதன் வாழி அவினி,Long live Ātaṉ! Long live Aviṉi!,வாழ்க ஆதன்! வாழ்க அவினி!,Marutham,ஆதன்,PERSON_NAME,yes
Aiṅkuṟunūṟu,Unknown,1,19,vāḻi,வாழி ஆதன் வாழி அவினி,Long live Ātaṉ! Long live Aviṉi!,வாழ்க ஆதன்! வாழ்க அவினி!,Marutham,வாழி,ACTION_BLESS,yes
Aiṅkuṟunūṟu,Unknown,1,19,aviṉi,வாழி ஆதன் வாழி அவினி,Long live Ātaṉ! Long live Aviṉi!,வாழ்க ஆதன்! வாழ்க அவினி!,Marutham,அவினி,PERSON_NAME,yes
Aiṅkuṟunūṟu,Unknown,1,20,pakaivar,பகைவர்புல் ஆர்க பார்ப்பார் ஓதுக,May the enemies' fields be eaten (by cattle)! May the Brahmins recite (the Vedas)!,பகைவரின் புல் (வயல்) மேயப்படுவதாக! பார்ப்பனர்கள் (வேதம்) ஓதுவதாக!,Marutham,பகைவர்புல்,LANDFORM_ENEMY_FIELD,yes
Aiṅkuṟunūṟu,Unknown,1,20,ārka,பகைவர்புல் ஆர்க பார்ப்பார் ஓதுக,May the enemies' fields be eaten (by cattle)! May the Brahmins recite (the Vedas)!,பகைவரின் புல் (வயல்) மேயப்படுவதாக! பார்ப்பனர்கள் (வேதம்) ஓதுவதாக!,Marutham,ஆர்க,ACTION_EAT_GRAZE,yes
Aiṅkuṟunūṟu,Unknown,1,20,pārppār,பகைவர்புல் ஆர்க பார்ப்பார் ஓதுக,May the enemies' fields be eaten (by cattle)! May the Brahmins recite (the Vedas)!,பகைவரின் புல் (வயல்) மேயப்படுவதாக! பார்ப்பனர்கள் (வேதம்) ஓதுவதாக!,Marutham,பார்ப்பார்,PERSON_BRAHMIN,yes
Aiṅkuṟunūṟu,Unknown,1,20,ōtuka,பகைவர்புல் ஆர்க பார்ப்பார் ஓதுக,May the enemies' fields be eaten (by cattle)! May the Brahmins recite (the Vedas)!,பகைவரின் புல் (வயல்) மேயப்படுவதாக! பார்ப்பனர்கள் (வேதம்) ஓதுவதாக!,Marutham,ஓதுக,ACTION_RECITE,yes
Aiṅkuṟunūṟu,Unknown,1,21,eṉavēṭ,எனவேட் டோளே யாயே யாமே,Thus longed-for (was) my mother; thus longed-for (were) we.,என்று விரும்பினாள் என் தாய்; என்று நாங்களும் விரும்பினோம்.,Marutham,எனவேட்,ACTION_DESIRE,yes
Aiṅkuṟunūṟu,Unknown,1,21,ṭōḷē,எனவேட் டோளே யாயே யாமே,Thus longed-for (was) my mother; thus longed-for (were) we.,என்று விரும்பினாள் என் தாய்; என்று நாங்களும் விரும்பினோம்.,Marutham,டோளே,PRONOUN_SHE,no
Aiṅkuṟunūṟu,Unknown,1,21,yāyē,எனவேட் டோளே யாயே யாமே,Thus longed-for (was) my mother; thus longed-for (were) we.,என்று விரும்பினாள் என் தாய்; என்று நாங்களும் விரும்பினோம்.,Marutham,யாயே,KINSHIP_MOTHER,yes
Aiṅkuṟunūṟu,Unknown,1,21,yāmē,எனவேட் டோளே யாயே யாமே,Thus longed-for (was) my mother; thus longed-for (were) we.,என்று விரும்பினாள் என் தாய்; என்று நாங்களும் விரும்பினோம்.,Marutham,யாமே,PRONOUN_WE,no
Aiṅkuṟunūṟu,Unknown,1,22,pūtta,பூத்த கரும்பிற்காய்த்த நெல்லிற்,In the fields where sugarcane has flowered and paddy has ripened.,பூத்த கரும்புக்கும் காய்த்த (முற்றிய) நெல்லுக்கும் (உரிய),Marutham,பூத்த,FLOWER_BLOOMED,yes
Aiṅkuṟunūṟu,Unknown,1,22,karumpiṟ,பூத்த கரும்பிற்காய்த்த நெல்லிற்,In the fields where sugarcane has flowered and paddy has ripened.,பூத்த கரும்புக்கும் காய்த்த (முற்றிய) நெல்லுக்கும் (உரிய),Marutham,கரும்பிற்காய்த்த,PLANT_SUGARCANE_FRUITED,yes
Aiṅkuṟunūṟu,Unknown,1,22,nelliṟ,பூத்த கரும்பிற்காய்த்த நெல்லிற்,In the fields where sugarcane has flowered and paddy has ripened.,பூத்த கரும்புக்கும் காய்த்த (முற்றிய) நெல்லுக்கும் (உரிய),Marutham,நெல்லிற்,PLANT_PADDY_FRUITED,yes
Aiṅkuṟunūṟu,Unknown,1,23,kaḻaṉi,கழனி யூரன் மார்பு,The chest of Ūraṉ of the fields.,வயல் ஊரானின் மார்பு,Marutham,கழனி,LANDFORM_FIELD,yes
Aiṅkuṟunūṟu,Unknown,1,23,yūraṉ,கழனி யூரன் மார்பு,The chest of Ūraṉ of the fields.,வயல் ஊரானின் மார்பு,Marutham,யூரன்,PERSON_CHIEFTAIN,yes
Aiṅkuṟunūṟu,Unknown,1,23,mārpu,கழனி யூரன் மார்பு,The chest of Ūraṉ of the fields.,வயல் ஊரானின் மார்பு,Marutham,மார்பு,BODY_PART_CHEST,yes
Aiṅkuṟunūṟu,Unknown,1,24,paḻaṉ,பழன் மாகற்க எனவேட் டேமே.,May (his chest) become ripe (for embracing my mother)? thus we longed-for.,பழமையான (முதிர்ந்த) பெருமைக்கு (உரியதாக) என்று நாங்கள் விரும்பினோம்.,Marutham,பழன்,QUALITY_RIPE_AGED,yes
Aiṅkuṟunūṟu,Unknown,1,24,mākaṟka,பழன் மாகற்க எனவேட் டேமே.,May (his chest) become ripe (for embracing my mother)? thus we longed-for.,பழமையான (முதிர்ந்த) பெருமைக்கு (உரியதாக) என்று நாங்கள் விரும்பினோம்.,Marutham,மாகற்க,QUALITY_GREATNESS,yes
Aiṅkuṟunūṟu,Unknown,1,24,eṉavēṭ,பழன் மாகற்க எனவேட் டேமே.,May (his chest) become ripe (for embracing my mother)? thus we longed-for.,பழமையான (முதிர்ந்த) பெருமைக்கு (உரியதாக) என்று நாங்கள் விரும்பினோம்.,Marutham,எனவேட்,ACTION_DESIRE,yes
Aiṅkuṟunūṟu,Unknown,1,24,ṭēmē,பழன் மாகற்க எனவேட் டேமே.,May (his chest) become ripe (for embracing my mother)? thus we longed-for.,பழமையான (முதிர்ந்த) பெருமைக்கு (உரியதாக) என்று நாங்கள் விரும்பினோம்.,Marutham,டேமே,PRONOUN_WE,no
Aiṅkuṟunūṟu,Unknown,1,25,vāḻi,வாழி ஆதன் வாழி அவினி,Long live Ātaṉ! Long live Aviṉi!,வாழ்க ஆதன்! வாழ்க அவினி!,Marutham,வாழி,ACTION_BLESS,yes
Aiṅkuṟunūṟu,Unknown,1,25,ātaṉ,வாழி ஆதன் வாழி அவினி,Long live Ātaṉ! Long live Aviṉi!,வாழ்க ஆதன்! வாழ்க அவினி!,Marutham,ஆதன்,PERSON_NAME,yes
Aiṅkuṟunūṟu,Unknown,1,25,vāḻi,வாழி ஆதன் வாழி அவினி,Long live Ātaṉ! Long live Aviṉi!,வாழ்க ஆதன்! வாழ்க அவினி!,Marutham,வாழி,ACTION_BLESS,yes
Aiṅkuṟunūṟu,Unknown,1,25,aviṉi,வாழி ஆதன் வாழி அவினி,Long live Ātaṉ! Long live Aviṉi!,வாழ்க ஆதன்! வாழ்க அவினி!,Marutham,அவினி,PERSON_NAME,yes
Aiṅkuṟunūṟu,Unknown,1,26,paciyil,பசியில் ஆகுக பிணீகேன் நீங்குக,May there be no hunger! May diseases depart!,பசி இல்லாமல் ஆகுக! பிணிகள் நீங்குக!,Marutham,பசியில்,STATE_HUNGERLESS,yes
Aiṅkuṟunūṟu,Unknown,1,26,ākuka,பசியில் ஆகுக பிணீகேன் நீங்குக,May there be no hunger! May diseases depart!,பசி இல்லாமல் ஆகுக! பிணிகள் நீங்குக!,Marutham,ஆகுக,ACTION_BECOME,yes
