"இறைவன்,DIVINE_BEING"
"கொடுத்தோய,GIVER"
"பாஅல்,MILK"
"புளிப்பினும்,SOUR"
"பகல்,DAY"
"இருளினும்,DARK"
"நாஅல்,FOUR"
"வேத,SCRIPTURE"
"நெறி,PATH"
"திரியினும்,DEVIATE"
"சுற்றம்,KIN"
"முழுது,WHOLE"
"சேண்,DISTANCE"
"விளங்கி,SHINE"
"நடுக்கு,FEAR"
"நிலியரோ,REMAIN"
"அடுக்கத்து,FOOTHILL"
"சிறுதலை,SMALL_HEAD"
"நவ்வி,DEER"
"பெருங்கண்,LARGE_EYE"
"மாப்பிணை,FEMALE_DEER"
"அந்தி,EVENING"
"அந்தணர்,PRIEST"
"அருங்கடன்,SACRED_DUTY"
"இறுக்கும்,PERFORM"
"முத்தீ,THREE_FIRES"
"விளக்கு,LAMP"
"துஞ்சும்,SLEEP"
"பொற்கோட்டு,GOLDEN_PEAK"
"இமயம்,HIMALAYA"
"பொதியம்,POTHIYAM"
"இரும்பிடர்த்,THICK_NECK"
"தலையார்,POET_NAME"
"பாண்டியன்,PANDYA_KING"
"கருங்கை,BLACK_HAND"
"ஒள்வாள்,SHINING_SWORD"
"பெரும்பெயர்,GREAT_NAME"
"வழுதி,PANDYA_KING"
"உவவுமதி,BEAUTIFUL_MOON"
"உருவு,SHAPE"
"ஓங்கல்,HIGH"
"வெண்குடை,WHITE_UMBRELLA"
"நிலவு,MOONLIGHT"
"கடல்,SEA"
"வரைப்பு,LIMIT"
"மண்ணகம்,EARTH"
"நிழற்ற,SHADE"
"ஏமம்,PROTECTIVE"
"முரசம்,DRUM"
"இழுமென,SOUND"
"முழங்க,RESOUND"
"நேமி,WHEEL"
"உய்த்த,CARRY"
"நேஎ,LOVE"
"நெஞ்சு,HEART"
"தவிரா,UNCEASING"
"ஈகை,CHARITY"
"கவுரியர்,KAURAVA"
"மருக,OFFSPRING"
"செயிர்தீர்,FLAWLESS"
"கற்பு,CHASTITY"
"சேயிழை,BEAUTIFUL_JEWEL"
"கணவ,HUSBAND"
"பொன்,GOLD"
"நோடை,LOOPHOLE"
"புகர்,SPOT"
"அணிநுதல்,ORNAMENTED_FOREHEAD"
"துன்னருரு,INACCESSIBLE"
"திறல்,POWER"
"கமழ்கடா,FRAGRANT_MUST"
"அத்து,PATH"
"எயிரு,TOOTH"
"படை,WEAPON"
"எயிற்கதவு,TOOTHED_DOOR"
"இடா,PLACE"
"கயிறு,ROPE"
"பிணிக்,BIND"
"கொண்ட,TOOK"
"கவிழ்மணி,INVERTED_BELL"
"மருங்கு,SIDE"
"பெருங்கை,LARGE_HAND"
"யானை,ELEPHANT"
"இரும்பிடர்த்,THICK_NECK"
"தலை,HEAD"
"இருந்து,SIT"
"மருந்தில்,MERCILESS"
"கூற்றம்,DEATH"
"அருந்தொழில்,CRUEL_WORK"
"சாயா,IMMORTAL"
"நிலம்,EARTH"
"பெயரினும்,CHANGE"
"நின்சொல்,YOUR_WORD"
"பெயரல்,CHANGE_NOT"
"பொலங்கழல்,SHINING_ANKLET"
"புலர்,FADE"
"சாந்து,SANDAL"
"விலங்கு,DEER"
"அகன்ற,BROAD"
"வியன்,WIDE"
"மார்பு,CHEST"
"ஊர்,VILLAGE"
"உயவு,DISTRESS"
"அரிய,RARE"
"நீர்,WATER"
"இடைய,DRY"
"பார்வல்,LOOK"
"இருக்கை,SEAT"
"கவிகண்,ARCHED_EYE"
"நோக்கு,GAZE"
"செந்தொடை,RIGHT_BOW"
"பிழையா,ACCURATE"
"வன்கண்,CRUEL_EYE"
"ஆடவர்,MEN"
"அம்பு,ARROW"
"விட,SHOOT"
"வீழ்ந்தோர்,FALLEN"
"வம்பப்,NEW"
"பதுக்கை,CAIRN"
"திருந்துசிறை,PERFECT_WING"
"வளைவாய்,CURVED_MOUTH"
"பருந்து,EAGLE"
"இருந்து,SIT"
"உயவும்,GRIEVE"
"உன்ன,CONSIDER"
"மரத்த,TREE"
"துன்னருங்,INACCESSIBLE"
"கவலை,CROSSROADS"
"நின்நசை,YOUR_DESIRE"
"வேட்கை,DESIRE"
"இரவலர்,BEGGARS"
"வருவர்,COME"
"முன்னம்,EARLIER"
"முகத்த,FACE"
"உணர்ந்து,KNOW"
"இன்மை,POVERTY"
"தீர்த்தல்,REMOVE"
"வன்மை,STRENGTH"
"பரணர்,POET_NAME"
"சோழன்,CHOLA_KING"
"உருவப்ப·றேர்,NAME"
"இளஞ்சேட்,YOUNG_CHERA"
"சென்னி,CHOLA_KING"
"வாள்,SWORD"
"வலந்தர,PROVIDE"
"மறுப்,SCAR"
"பட்டன,OBTAIN"
"செவ்வானம்,RED_SKY"
"வனப்பு,BEAUTY"
"தாள்,LEG"
"களங்கொள,TAKE_BATTLEFIELD"
"கழல்,ANKLET"
"பறைந்தன,REMOVE"
"கொல்,KILL"
"ஏற்று,BULL"
"மருப்பு,TUSK"
"தோல்,SHIELD"
"துவைத்து,BEAT"
"அம்பு,ARROW"
"துனைதோன்றுவ,APPEAR_QUICKLY"
"நிலைக்கு,FOR_STABILITY"
"ஒராஅ,NOT_ACCEPT"
"இலக்கம்,TARGET"
"மா,HORSE"
"எறிபதத்தான்,STRIKING_FOOT"
"இடம்,PLACE"
"காட்ட,SHOW"
"கறுழ்,STRENGTH"
"பொருத,FOUGHT"
"செவ்வாய்,RED_MOUTH"
"எருத்து,NECK"
"வவ்விய,SEIZED"
"புலி,TIGER"
"களிறு,MALE_ELEPHANT"
"கதவு,GATE"
"எறியா,STRIKE"
"சிவந்து,RED"
"உராஅய்,RUB"
"நுதி,POINT"
"மழுங்கிய,BLUNT"
"வெண்கோடு,WHITE_TUSK"
"உயிர்,LIFE"
"உண்ணும்,EAT"
"நீ,ROCK"
"அலங்கு,FLOWING"
"உளை,MANE"
"பரீஇ,SPREAD"
"இவுளி,HORSE"
"பொலந்தேர்,GOLDEN_CHARIOT"
"மிசை,UPON"
"பொலிவு,SPLENDOUR"
"தோன்றி,APPEAR"
"மா,GREAT"
"கடல்,SEA"
"நிவந்,RISE"
"தெழுதரும்,RISING"
"செஞ்ஞாயிறு,RED_SUN"
"கவினை,BEAUTY"
"அனையை,LIKE_THAT"
"ஆகன்,BE_NOT"
"தாய்,MOTHER"
"இல்,NO"
"தூவாக்,NOT_COVERED"
"குழவி,INFANT"
"ஓவாது,UNCEASING"
"கூஉம்,CALL"
"உடற்றி,CAUSE_SORROW"
"ஓர்,CERTAIN"
"நாடு,COUNTRY"
"நரிவெரூஉத்,N_FOX"
"தலையார்,POET_NAME"
"கருவூரேறிய,NAME"
"ஒள்வாட்,SHINING_SWORD"
"கோப்பெருஞ்,KO_PERUM"
"சேரல்,CHERA"
"எருமை,BUFFALO"
"அன்ன,LIKE"
"கருங்கல்,BLACK_STONE"
"இடை,INTERVAL"
"தோறு,EVERY"
"ஆ,COW"
"நிற்,YOU"
"பரக்கும்,SPREAD"
"யானைய,ELEPHANT"
"முன்பு,BEFORE"
"கானக,JUNGLE"
"நாடனை,RULER"
"பெரும,LORD"
"நீயோர்,YOU_ONE"
"ஆகலின்,BECAUSE"
"ஒன்று,ONE"
"மொழிவல்,SAY"
"அருள்,GRACE"
"அன்பு,LOVE"
"நீக்கி,REMOVE"
"நீங்கா,INSEPARABLE"
"நிரயம்,HELL"
"கொள்பவரொடு,WITH_THOSE_WHO_TAKE"
"ஒன்றாது,NOT_UNITING"
"காவல்,PROTECT"
"குழவி,CHILD"
"கொள்,HAVE"
"பவரின்,LIKE_THOSE"
"ஓம்புமதி,PROTECT"
"அளிதோ,PITIFUL"
"தானே,ITSELF"
"பெறல்,OBTAIN"
"அருங்,DIFFICULT"
"குரைத்தே,SAID"
"காரிகிழார்,POET_NAME"
"பல்யாகசாலை,MANY_SACRIFICE_HALL"
"முதுகுடுமிப்,NAME"
"பெருவழுதி,GREAT_PANDYA"
"மறமாண்பு,VALOUR"
"வாடாஅத,WITHERING"
"பனிபடு,DEW_FALL"
"நெடுவரை,LONG_MOUNTAIN"
"வடக்கும்,NORTH"
"தெனாஅது,SOUTH"
"உரு,FORM"
"கெழு,ABOUNDING"
"குமரி,KUMARI"
"தெற்கும்,SOUTH"
"குணாஅது,EAST"
"கரைபொரு,SHORE_STRIKING"
"தொடுகடல்,WAVING_SEA"
"குணக்கும்,EAST"
"குடாஅது,WEST"
"தொன்றுமுதிர்,ANCIENT_OLD"
"பொளவத்தின்,OCEAN"
"குடக்கும்,WEST"
"கீழது,LOWER"
"முப்புணர்,THREE_JOINED"
"அடுக்கிய,ARRANGED"
"முறைமுதல்,ORDER_FIRST"
"கட்டின்,WALL"
"நீர்நிலை,WATER_BODY"
"நிவப்பு,HEIGHT"
"கீழும்,BELOW"
"மேலது,UPPER"
"ஆனிலை,EXISTING_STATE"
"உலகத்து,IN_WORLD"
"ஆனாது,CEASELESS"
"உருவு,FORM"
"புகழு,FAME"
"விரிசீர்,WIDE_FAME"
"தெரிகோல்,CLEAR_SCEPTRE"
"ஞமன்ன்,KING"
"ஒரு,ONE"
"திறம்,SIDE"
"பற்றல்,HOLD"
"இலியரோ,NOT"
"திறம்,SIDE"
"சிறக்க,FLOURISH"
"செய்வினை,ACTION"
"எதிர்ந்த,OPPOSED"
"தெவ்வர்,ENEMY"
"தேஎத்து,IN_COUNTRY"
"கடற்படை,NAVY"
"குளிப்ப,IMMERSE"
"மண்டி,RUSH"
"அடர்ப்,DENSE"
"புகர்,SPOT"
"சிறுகண்,SMALL_EYE"
"யானை,ELEPHANT"
"செவ்விதின்,PROPERLY"
"ஏவி,COMMAND"
"பாசவல்,KNEADED_RICE"
"படப்பை,GARDEN"
"ஆர்,DENSE"
"எயில்,FORT"
"பலதந்து,MANY_GIVE"
"அவ்வெயில்,THAT_SUN"
"கொண்ட,TOOK"
"செய்வுறு,WELL_MADE"
"நன்கலம்,FINE_JEWEL"
"பரிசின்,CHARITY"
"மாக்கட்கு,PEOPLE"
"வரிசையின்,ACCORDING_TO_RANK"
"நல்கி,BESTOW"
"பணியியர்,BOW"
"குடை,UMBRELLA"
"முனிவர்,ASCETICS"
"முக்கண்,THREE_EYED"
"செல்வர்,LORD"
"நகர்வலஞ்,CITY_CLOCKWISE"
"செயற்கே,FOR_DOING"
"இறைஞ்சுக,BOW"
"சென்னி,HEAD"
"சிறந்த,EXCELLENT"
"நான்மறை,FOUR_VEDAS"
"ஏந்துகை,RAISED_HAND"
"எதிரே,IN_FRONT"
"வாடுக,FADE"
"இறைவ,LORD"
"கண்ணி,GARLAND"
"ஒன்னார்,ENEMIES"
"நாடு,COUNTRY"
"சுடு,BURN"
"கமழ்புகை,FRAGRANT_SMOKE"
"எறித்தலானே,FROM_SPREADING"
"செலிஇயர்,GO"
"வெகுளி,ANGER"
"வால்இழை,WHITE_JEWEL"
"மங்கையர்,WOMEN"
"துனித்த,ANGRY"
"வாள்முகம்,SWORD_FACE"
"எதிரே,IN_FRONT"
"வென்றி,VICTORY"
"எல்லாம்,ALL"
"அகத்து,INSIDE"
"அடக்கிய,CONTROLLED"
"தண்டா,UNCEASING"
"தகைமாண்,DIGNITY"
"குடுமி,CREST"
"தண்கதிர,COOL_RAY"
"மதியம்,MOON"
"போலவும்,LIKE"
"தெறுசுடர்,HOT_RAY"
"ஒண்கதிர,BRIGHT_RAY"
"ஞாயிறு,SUN"
"போலவும்,LIKE"
"மன்னிய,REIGNED"
"நிலமிசை,ON_EARTH"
"யானே,YOU"
"கருங்குழல்,BLACK_HAIR"
"ஆதனார்,POET_NAME"
"கரிகாற்,KARIKALAN"
"பெருவளத்தான்,GREAT_CHOLA"
"களிறு,ELEPHANT"
"கடைஇய,LED"
"தாள்,LEG"
"கழல்,ANKLET"
"உரீஇய,WEAR"
"திருந்தடி,PERFECT_FOOT"
"கணை,ARROW"
"பொருது,FIGHT"
"கவிவண்,BOUNTIFUL"
"கையால்,HAND"
"கண்,EYE"
"ஒளிர்வரூஉம்,SHINE"
"கவின்,BEAUTY"
"சாபத்த,BOW"
"மா,HORSE"
"மறுத்த,REFUSED"
"மலர்,FLOWER"
"மார்பின்,CHEST"
"தோல்,SHIELD"
"பெயரிய,NAMED"
"எறுழ்,STRONG"
"முன்பு,FRONT"
"எல்லையும்,BOUNDARY"
"இரவும்,NIGHT"
"எண்ணாய்,COUNT_NOT"
"பகைவர்,ENEMIES"
"ஊர்சுடு,BURN_VILLAGE"
"விளக்கத்த,FESTIVAL"
"அழுவிளி,CRY"
"கம்பலை,NOISE"
"கொள்ளை,PLUNDER"
"மேவலை,DESIRE"
"நல்ல,GOOD"
"இல்லா,NOT"
"ஆகுபவால்,BECOME"
"இயல்தேர்,CHARIOT"
"வளவ,CHOLA"
"தண்புனல்,COOL_WATER"
"பரந்த,SPREAD"
"பூசல்,NOISE"
"மண்,EARTH"
"மறுத்த,REFUSE"
"மீனின்,OF_FISH"
"செறுக்கும்,ABOUND"
"பயன்,FRUIT"
"திகழ்,SHINE"
"வைப்பின்,REGION"
"பிறர்,OTHERS"
"அகன்றலை,WIDE_HEAD"
"நாடு,COUNTRY"
"கபிலர்,POET"
"கடுங்கோ,KADUNGO"
"வாழியாதன்,VAZHIYATHAN"
"செல்வக்,SELVA"
"கடுங்கோ,KADUNGO"
"வையம்,EARTH"
"காவலர்,KINGS"
"வழிமொழிந்து,OBEY"
"ஒழுகப்,BEHAVE"
"போகம்,ENJOYMENT"
"வேண்டி,FOR_SAKE"
"பொதுச்சொல்,COMMON_WORD"
"பொறாஅது,UNABLE_TO_BEAR"
"இடம்,PLACE"
"சிறிது,SMALL"
"என்னும்,SAYING"
"ஊக்கம்,AMBITION"
"துரப்ப,URGE"
"ஒடுங்கா,UNSUBMISSIVE"
"உள்ளத்து,HEART"
"ஓம்பா,UNPROTECTED"
"ஈகை,CHARITY"
"கடந்து,CONQUER"
"அடு,KILL"
"தானை,ARMY"
"சேரலாதனை,CHERA"
"யாங்கனம்,HOW"
"ஒத்தியோ,SUIT"
"வீங்குசெலல்,SWELLING"
"மண்டிலம்,ORB"
"பொழுது,SEASON"
"என,AS"
"வரைதி,DETERMINE"
"புறக்கொடுத்து,TURN_BACK"
"இறத்தி,DIE"
"மாறி,CHANGE"
"வருதி,COME"
"மலை,MOUNTAIN"
"மறைந்து,HIDE"
"ஒளித்தi,HIDE"
"அகல்இரு,WIDE_TWO"
"விசும்பினானும்,FROM_SKY"
"பகல்,DAY"
"விளங்குதியால்,SHINE"
"பல்கதிர,MANY_RAYS"
"விரித்தே,SPREAD"
"நெட்டிமையார்,POET_NAME"
"ஆ,COW"
"ஆனியல்,COW_NATURE"
"பார்ப்பன,BRAMIN"
"மாக்களும்,PEOPLE"
"பெண்டிரும்,WOMEN"
"பிணி,DISEASE"
"உடையீரும்,THOSE_WHO_HAVE"
"பேணி,PROTECT"
"தென்புலம்,SOUTHERN_REGION"
"வாழ்நர்க்கு,FOR_THOSE_WHO_LIVE"
"அருங்கடன்,SACRED_DUTY"
"இறுக்கும்,PERFORM"
"பொன்போல்,GOLD_LIKE"
"புதல்வர்ப்,SONS"
"பெறாஅதீரும்,THOSE_NOT_GETTING"
"எம்அம்பு,MY_ARROW"
"கடிவிடுதும்,WE_WILL_SHOOT"
"நுன்அரண்,YOUR_FORT"
"சேர்மின்,JOIN"
"அறத்துஆறு,RIGHTEOUS_PATH"
"நுவலும்,SPEAK"
"பூட்கை,NATURE"
"மறத்தின்,BY_VALOUR"
"கொல்களிற்று,KILLING_ELEPHANT"
"மீமிசை,TOP"
"கொடி,FLAG"
"விசும்பு,SKY"
"நிழற்றும்,SHADE"
"எங்கோ,OUR_KING"
"வாழிய,LONG_LIVE"
"குடுமி,CREST"
"தங்கோச்,THEIR_KING"
"செந்நீர்,RED_WATER"
"பசும்பொன்,FRESH_GOLD"
"வயிரியர்க்கு,TO_MINISTERS"
"ஈத்த,GAVE"
"முந்நீر,THREE_SEAS"
"விழவின்,FESTIVAL"
"நெடியோன்,TALL_ONE"
"நன்னீர்,GOOD_WATER"
"ப·றுளி,NAME"
"மணலினும்,THAN_SAND"
"பலவே,MANY"
"ஊன்,MEAT"
"பொதி,PACKED"
"பசுங்குடையார்,POET_NAME"
"நெய்தலங்,NEYDAL"
"கானல்,GROVE"
"இளஞ்சேட்,ILANCHED"
"சென்னி,CHOLA"
"வழிபடு,WORSHIP"
"வோரை,THOSE"
"வல்லறி,KNOW_WELL"
"தீயே,EAT"
"பிறர்பழி,OTHERS_BLAME"
"கூறுவோர்,THOSE_WHO_SPEAK"
"மொழிதேறலையே,DO_NOT_ACCEPT_WORDS"
"மெய்,TRUTH"
"கண்ட,SEEN"
"தீமை,EVIL"
"காணின்,IF_SEE"
"ஒப்ப,SUITABLE"
"நாடி,CONSIDER"
"அத்தக,THAT_WAY"
"ஒறுத்தி,PUNISH"
"வந்து,COME"
"அடி,FOOT"
"பொருந்தி,JOIN"
"முந்தை,EARLIER"
"நிற்பின்,IF_STAND"
"தண்டமும்,PUNISHMENT"
"தணிதி,COOL"
"பண்டையிற்,THAN_BEFORE"
"பெரிதே,GREAT"
"அமிழ்து,NECTAR"
"அட்டு,COOKED"
"ஆனாக,CEASELESS"
"கமழ்குய்,FRAGRANT"
"அடிசில்,FOOD"
"வருநர்க்கு,TO_COMERS"
"வரையா,UNLIMITED"
"வசையில்,BLAMELESS"
"வாழ்க்கை,LIFE"
"மகளிர்,WOMEN"
"மலைத்தல்,REJECT"
"அல்லது,EXCEPT"
"மள்ளர்,WARRIORS"
"மலைத்தல்,REJECT"
"போகிய,GONE"
"சிலைத்தார்,BOWMEN"
"மார்பு,CHEST"
"செய்து,DOING"
"இரங்கா,NOT_REGRETTING"
"வினை,DEED"
"சேண்விளங்கும்,FAR_SHINING"
"புகழ்,FAME"
"நெய்தருங்,DIFFICULT_TO_WEAVE"
"கானல்,GROVE"
"நெடியோய்,TALL_ONE"
"எய்த,OBTAINED"
"வந்தனம்யாம்,WE_CAME"
"ஏத்துகம்,WE_PRAISE"
"பலவே,MANY"
"பேய்மகள்,DEMON_WOMAN"
"இளவெயினியார்,POET_NAME"
"பாலை,DESERT"
"பாடிய,SANG"
"பெருங்கடுங்கோ,PERUNKADUNGO"
"அரி,THREAD"
"மயிர்,HAIR"
"திரள்,BUNCH"
"முன்கை,FOREARM"
"வால்இழை,WHITE_JEWEL"
"மட,SOFT"
"மங்கையர்,WOMEN"
"வரி,LINE"
"மணல்,SAND"
"புனை,DECORATE"
"பாவைக்கு,FOR_DOLL"
"குலவு,FLOURISHING"
"சினை,BRANCH"
"பூ,FLOWER"
"கொய்து,PLUCK"
"தண்,COOL"
"பொருநை,PORUNAI"
"புனல்,WATER"
"பாயும்,SPRING"
"விண்,SKY"
"பொருபுகழ்,FAMOUS_FAME"
"விறல்வஞ்சி,VICTORIOUS_VANJI"
"பாடல்,SONG"
"சான்ற,EMINENT"
"விறல்வேந்தனும்மே,VICTORIOUS_KING"
"வெப்புடைய,HOT"
"அரண்,FORT"
"கடந்து,CROSS"
"துப்புறுவர்,WARRIORS"
"புறம்பெற்றிசினே,OBTAINED_OUTSIDE"
"புறம்,OUTSIDE"
"பொற்ற,WON"
"வய,STRONG"
"வேந்தன்,KING"
"மறம்,VALOUR"
"பாடிய,SANG"
"பாடினியும்மே,SINGER"
"ஏர்,BEAUTY"
"உடைய,HAVING"
"விழுக்கழஞ்சின்,MEASURE"
"சீர்,FAME"
"உடைய,HAVING"
"இழை,JEWEL"
"பெற்றிசினே,OBTAINED"
"இழை,JEWEL"
"பெற்ற,GOT"
"பாடினிக்கு,TO_SINGER"
"குரல்,VOICE"
"புணர்சீர்,JOINED_FAME"
"கொளைவல்பாண்மகனும்மே,SKILLED_SINGER"
"ஒள்அழல்,BRIGHT_FIRE"
"புரிந்த,EMBRACED"
"தாமரை,LOTUS"
"வெள்ளி,SILVER"
"நாரால்,THREAD"
"பூப்பெற்றிசினே,OBTAINED_FLOWER"
"பாணர்,SINGERS"
"தாமரை,LOTUS"
"மலையவும்,MOUNTAIN"
"புலவர்,POETS"
"பூநுதல்,FLOWER_FOREHEAD"
"யானையோடு,WITH_ELEPHANT"
"புனைதேர்,DECORATED_CHARIOT"
"பண்ணவும்,MAKE"
"அறனோ,RIGHTEOUS"
"மற்று,THEN"
"இது,THIS"
"விறல்மாண்,VICTORIOUS"
"குடுமி,CREST"
"இன்னா,PAINFUL"
"ஆக,BECOME"
"பிறர்மண்,OTHERS_LAND"
"கொண்டு,TAKING"
"இனிய,SWEET"
"செய்தி,DO"
"நின்,YOUR"
"ஆர்வலர்,LOVERS"
"முகத்தே,IN_FACE"
"உறையூர்,URAIYUR"
"ஏணிச்சேரி,ENICHERI"
"முடமோசியார்,POET_NAME"
"முடித்தலைக்,CREST_HEAD"
"கோப்பெருநற்கிள்ளி,KO_PERUNARKILLI"
"இவன்,THIS"
"யார்,WHO"
"என்குவை,SAY"
"ஆயின்,IF"
"புலி,TIGER"
"நிற,COLOR"
"கவசம்,ARMOUR"
"பூம்பொறி,FLOWER_SPOT"
"சிதைய,BREAK"
"எய்கணை,SHOT_ARROW"
"கிழித்த,PIERCED"
"பகட்டு,MALE"
"எழில்,BEAUTY"
"மறலி,YAMA"
"அன்ன,LIKE"
"களிற்றுமிசை,ON_ELEPHANT"
"யோனே,ONE"
"முந்நீr,SEA"
"வழங்கு,MOVE"
"நாவாய்,SHIP"
"போலவும்,LIKE"
"பன்மீன்,MANY_FISH"
"நாப்பண்,IN_MIDDLE"
"திங்கள்,MOON"
"போலவும்,LIKE"
"சுறவு,SHARK"
"இனத்து,GROUP"
"அன்ன,LIKE"
"வாளோர்,SWORD_MEN"
"மொய்ப்ப,ABOUND"
"மரீஇயோர்,ACQUAINTED"
"அறியாது,NOT_KNOWING"
"மைந்துபட்டன்றே,SUFFERED"
"நோயிலன்,NO_SICKNESS"
"ஆகி,BEING"
"பெயர்கதில்,GO"
"அம்ம,AH"
"பழன,MEADOW"
"மஞ்ஞை,PEACOCK"
"உகுத்த,SHED"
"பீலி,FEATHER"
"கழனி,FIELD"
"உழவர்,FARMERS"
"சூட்டொடு,WITH_GARLAND"
"தொகுக்கும்,COLLECT"
"கொழுமீன்,FAT_FISH"
"விளைந்த,RIPENED"
"கள்ளின்,OF_KALL"
"விழுநீர்,GOOD_WATER"
"வேலி,FENCE"
"நாடுகிழவோனே,LAND_OWNER"
"சேரமான்,CHERA_KING"
"செல்வக்,SELVA"
"கடுங்கோ,KADUNGO"
"வாழியாதன்,VAZHIYATHAN"
"கடுங்கண்,CRUEL_EYE"
"கொல்களிற்றால்,KILLING_ELEPHANT"
"காப்புடைய,PROTECTED"
"எழு,PLOUGH"
"முருக்கி,DESTROY"
"பொன்இயல்,GOLD_NATURE"
"புனை,DECORATED"
"தோட்டியான்,GOAD"
"முன்பு,FRONT"
"துரந்த,DRIVE"
"சமந்,BATTLEFIELD"
"தாங்கவும்,SUPPORT"
"பார்,EARTH"
"உடைத்த,PIERCED"
"குண்டு,DEEP"
"அகழி,MOAT"
"நீர்அழுவம்,WATER_BODY"
"நிவப்பு,HEIGHT"
"குறித்து,AIMING"
"நிமிர்,RAISE"
"பரிய,FEARFUL"
"மா,HORSE"
"தாங்கவும்,SUPPORT"
"ஆவம்,BATTLE"
"சேர்ந்த,JOINED"
"புறத்தை,BACK"
"தேர்மிசை,ON_CHARIOT"
"சாப,QUIVER"
"நோன்ஞாண்,STRONG_BOWSTRING"
"வடுக்கொள,TAKE_SCAR"
"வழங்கவும்,GIVE"
"பரிசிலர்க்கு,TO_BARDS"
"அருங்கலம்,JEWEL"
"நல்கவும்,BESTOW"
"குரிசில்,LORD"
"வலிய,STRONG"
"ஆகும்,BECOME"
"தாள்தோய்,LEG_TOUCH"
"தடக்கை,LARGE_HAND"
"புலவு,STENCH"
"நாற்றத்த,SMELLING"
"பைந்தடி,GREEN_FOOT"
"பூ,FLOWER"
"நாற்றத்த,SMELLING"
"புகை,SMOKE"
"கொளீஇ,INCLUDING"
"ஊன்துவை,MEAT_PASTE"
"கறிசோறு,CURRY_RICE"
"உண்டு,EATING"
"வருந்துதொழில்,SUFFERING_WORK"
"அல்லது,EXCEPT"
"பிறிதுதொழில்,OTHER_WORK"
"அறியா,NOT_KNOW"
"ஆகலின்,BECAUSE"
"நன்றும்,GOOD"
"மெல்லிய,SOFT"
"தாமே,THEY"
"நல்லவர்க்கு,TO_GOOD"
"ஆரணங்கு,ADORNMENT"
"ஆகிய,BECOME"
"மார்பின்,CHEST"
"பொருநர்க்கு,TO_WARRIORS"
"இருநிலத்து,ON_EARTH"
"அன்ன,LIKE"
"நோன்மை,STRENGTH"
"செருமிகு,BATTLE_FAMOUS"
"சேஎய்,SON"
"பாடுநர்,SINGERS"
"கையே,HAND"
