Poem_Summary,Line_Original,Line_Summary,Word_Original,Hierarchical_Entity_Tag,Notes
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",திரு ஞெமிர்ந்து அமர்ந்த மார்பினை மார்பில்,"The prosperity that shines and resides on your chest, on your chest",மார்பினை,BODY_PART_CHEST,"Chest; accusative case of 'மார்பு'"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",திரு ஞெமிர்ந்து அமர்ந்த மார்பினை மார்பில்,"The prosperity that shines and resides on your chest, on your chest",மார்பில்,BODY_PART_CHEST_LOCATIVE,"On the chest; locative case"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",தெரிமணி பிறங்கும் பூணினை மால்வரை,"The clear jewels that shine on your ornament, O mountain-like lord",தெரிமணி,JEWEL_CLEAR,"Clear jewels; transparent or bright gems"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",தெரிமணி பிறங்கும் பூணினை மால்வரை,"The clear jewels that shine on your ornament, O mountain-like lord",பிறங்கும்,VERB_SHINE,"Shine, glitter; present tense verb"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",தெரிமணி பிறங்கும் பூணினை மால்வரை,"The clear jewels that shine on your ornament, O mountain-like lord",பூணினை,ORNAMENT_JEWELRY,"Ornament, jewelry; accusative case"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",தெரிமணி பிறங்கும் பூணினை மால்வரை,"The clear jewels that shine on your ornament, O mountain-like lord",மால்வரை,DIVINE_ADDRESS_MOUNTAIN,"O mountain-like lord; poetic address to Vishnu"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",எரி திரிந்தன்ன பொன் புனை உடுக்கையை,"Golden garment that resembles swirling fire",எரி,FIRE_FLAME,"Fire, flame; element reference"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",எரி திரிந்தன்ன பொன் புனை உடுக்கையை,"Golden garment that resembles swirling fire",திரிந்தன்ன,VERB_SWIRLING,"Swirling, turning; resembles swirling motion"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",எரி திரிந்தன்ன பொன் புனை உடுக்கையை,"Golden garment that resembles swirling fire",பொன்,MATERIAL_GOLD,"Gold; precious metal"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",எரி திரிந்தன்ன பொன் புனை உடுக்கையை,"Golden garment that resembles swirling fire",புனை,VERB_ADORN,"Adorn, decorate; verb"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",எரி திரிந்தன்ன பொன் புனை உடுக்கையை,"Golden garment that resembles swirling fire",உடுக்கையை,GARMENT_CLOTHING,"Garment, clothing; accusative case"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",சேவலம் கொடியோய் நின் வலவயின் நிறுத்தும்,"O rooster-flag bearer, established on your right side",சேவலம்,ANIMAL_ROOSTER,"Rooster; emblem of Murugan, here used for Vishnu"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",சேவலம் கொடியோய் நின் வலவயின் நிறுத்தும்,"O rooster-flag bearer, established on your right side",கொடியோய்,DIVINE_ADDRESS_BANNERBEARER,"O banner-bearer; addressing the deity"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",சேவலம் கொடியோய் நின் வலவயின் நிறுத்தும்,"O rooster-flag bearer, established on your right side",நின்,POSSESSIVE_YOUR,"Your; possessive pronoun"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",சேவலம் கொடியோய் நின் வலவயின் நிறுத்தும்,"O rooster-flag bearer, established on your right side",வலவயின்,DIRECTION_RIGHTSIDE,"Right side; locative form"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",சேவலம் கொடியோய் நின் வலவயின் நிறுத்தும்,"O rooster-flag bearer, established on your right side",நிறுத்தும்,VERB_ESTABLISH,"Establish, place; present tense verb"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",ஏவல் உழந்தமை கூறும்,"Speaks of the suffering from commands",ஏவல்,COMMAND_ORDER,"Command, order; noun"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",ஏவல் உழந்தமை கூறும்,"Speaks of the suffering from commands",உழந்தமை,SUFFERING_EXPERIENCE,"Suffering, experiencing; verbal noun"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",ஏவல் உழந்தமை கூறும்,"Speaks of the suffering from commands",கூறும்,VERB_SPEAK,"Speak, tell; present tense verb"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",நாவல் அந்தணர் அருமறைப் பொருளே,"O profound mystery of the Vedic Brahmins",நாவல்,ACTION_SPEAKING,"Speaking, telling; verbal noun"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",நாவல் அந்தணர் அருமறைப் பொருளே,"O profound mystery of the Vedic Brahmins",அந்தணர்,PRIEST_BRAHMIN,"Brahmins, Vedic priests"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",நாவல் அந்தணர் அருமறைப் பொருளே,"O profound mystery of the Vedic Brahmins",அருமறைப்,KNOWLEDGE_SECRET,"Secret knowledge, profound mystery"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",நாவல் அந்தணர் அருமறைப் பொருளே,"O profound mystery of the Vedic Brahmins",பொருளே,DIVINE_ADDRESS_ESSENCE,"O essence; addressing the divine principle"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",அமர் வென்ற கணை,"The arrow that conquers battles",அமர்,BATTLE_WAR,"Battle, war; noun"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",அமர் வென்ற கணை,"The arrow that conquers battles",வென்ற,VERB_CONQUER,"Conquer, win; past participle"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",அமர் வென்ற கணை,"The arrow that conquers battles",கணை,WEAPON_ARROW,"Arrow; weapon"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",இணைபிரி அணி துணி பணி எரி புரை,"Pairs separate, ornaments, clothes, duties, fire, resemble",இணைபிரி,SEPARATION_PAIR,"Separation of pairs; compound verb"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",இணைபிரி அணி துணி பணி எரி புரை,"Pairs separate, ornaments, clothes, duties, fire, resemble",அணி,ORNAMENT_DECORATION,"Ornament, decoration"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",இணைபிரி அணி துணி பணி எரி புரை,"Pairs separate, ornaments, clothes, duties, fire, resemble",துணி,CLOTH_GARMENT,"Cloth, garment"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",இணைபிரி அணி துணி பணி எரி புரை,"Pairs separate, ornaments, clothes, duties, fire, resemble",பணி,DUTY_SERVICE,"Duty, service"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",இணைபிரி அணி துணி பணி எரி புரை,"Pairs separate, ornaments, clothes, duties, fire, resemble",எரி,FIRE_FLAME,"Fire"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",இணைபிரி அணி துணி பணி எரி புரை,"Pairs separate, ornaments, clothes, duties, fire, resemble",புரை,RESEMBLANCE_SIMILARITY,"Resemblance, similarity"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",விடர் இடு சுடர் படர் பொலம்புனை வினைமலர்,"Clefts give, flames spread, shining decorations, action flowers",விடர்,GEOLOGY_CLEFT,"Cleft, crevice; geological feature"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",விடர் இடு சுடர் படர் பொலம்புனை வினைமலர்,"Clefts give, flames spread, shining decorations, action flowers",இடு,VERB_GIVE,"Give, place; verb"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",விடர் இடு சுடர் படர் பொலம்புனை வினைமலர்,"Clefts give, flames spread, shining decorations, action flowers",சுடர்,FLAME_LIGHT,"Flame, light"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",விடர் இடு சுடர் படர் பொலம்புனை வினைமலர்,"Clefts give, flames spread, shining decorations, action flowers",படர்,VERB_SPREAD,"Spread, extend; verb"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",விடர் இடு சுடர் படர் பொலம்புனை வினைமலர்,"Clefts give, flames spread, shining decorations, action flowers",பொலம்புனை,ORNAMENT_SHINING,"Shining decoration; compound word"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",விடர் இடு சுடர் படர் பொலம்புனை வினைமலர்,"Clefts give, flames spread, shining decorations, action flowers",வினைமலர்,FLOWER_ACTION,"Action flower; metaphorical compound"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",நெரி திரட் எரி புரை தனமிகு தன முரண்மிகு,"Dense clusters, fire resembles, wealth abundant, self opposing abundant",நெரி,DENSITY_CLOSE,"Close, dense; adjective"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",நெரி திரட் எரி புரை தனமிகு தன முரண்மிகு,"Dense clusters, fire resembles, wealth abundant, self opposing abundant",திரட்,CLUSTER_GROUP,"Cluster, group; noun"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",நெரி திரட் எரி புரை தனமிகு தன முரண்மிகு,"Dense clusters, fire resembles, wealth abundant, self opposing abundant",எரி,FIRE_FLAME,"Fire"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",நெரி திரட் எரி புரை தனமிகு தன முரண்மிகு,"Dense clusters, fire resembles, wealth abundant, self opposing abundant",புரை,RESEMBLANCE_SIMILARITY,"Resembles"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",நெரி திரட் எரி புரை தனமிகு தன முரண்மிகu,"Dense clusters, fire resembles, wealth abundant, self opposing abundant",தனமிகு,WEALTH_ABUNDANT,"Abundant wealth; compound"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",நெரி திரட் எரி புரை தனமிகு தன முரண்மிகு,"Dense clusters, fire resembles, wealth abundant, self opposing abundant",தன,SELF_INDIVIDUAL,"Self, individual"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",நெரி திரட் எரி புரை தனமிகு தன முரண்மிகு,"Dense clusters, fire resembles, wealth abundant, self opposing abundant",முரண்மிகு,OPPOSITION_ABUNDANT,"Abundant opposition; compound"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",கடல் அரு மணியொடும் முத்து யாத்த நேரணி,"With ocean-rare gems and pearls arranged in straight lines",கடல்,OCEAN_SEA,"Ocean, sea"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",கடல் அரு மணியொடும் முத்து யாத்த நேரணி,"With ocean-rare gems and pearls arranged in straight lines",அரு,RARE_DIFFICULT,"Rare, difficult"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",கடல் அரு மணியொடும் முத்து யாத்த நேரணi,"With ocean-rare gems and pearls arranged in straight lines",மணியொடும்,JEWEL_WITH,"With gems; comitative case"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",கடல் அரு மணியொடும் முத்து யாத்த நேரணி,"With ocean-rare gems and pearls arranged in straight lines",முத்து,JEWEL_PEARL,"Pearl; precious gem from ocean"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",கடல் அரு மணியொடும் முத்து யாத்த நேரணி,"With ocean-rare gems and pearls arranged in straight lines",யாத்த,VERB_ARRANGE,"Arrange, compose; past participle"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",கடல் அரு மணியொடும் முத்து யாத்த நேரணி,"With ocean-rare gems and pearls arranged in straight lines",நேரணி,FORMATION_STRAIGHTLINE,"Straight line formation; military term"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",நெறி செறி வெறி உறு முறல் விறல் வணங்கு அணங்கு வில்,"Path filled, frenzy possessing, strength valor bowing goddess bow",நெறி,PATH_WAY,"Path, way; noun"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",நெறி செறி வெறி உறு முறல் விறல் வணங்கு அணங்கு வில்,"Path filled, frenzy possessing, strength valor bowing goddess bow",செறி,VERB_FILL,"Fill, pack; verb"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",நெறி செறி வெறி உறு முறல் விறல் வணங்கு அணங்கு வில்,"Path filled, frenzy possessing, strength valor bowing goddess bow",வெறி,FRENZY_PASSION,"Frenzy, passion; emotional state"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",நெறி செறி வெறி உறு முறல் விறல் வணங்கு அணங்கு வில்,"Path filled, frenzy possessing, strength valor bowing goddess bow",உறு,VERB_POSSESS,"Possess, obtain; verb"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",நெறி செறி வெறி உறு முறல் விறல் வணங்கு அணங்கு வில்,"Path filled, frenzy possessing, strength valor bowing goddess bow",முறல்,STRENGTH_POWER,"Strength, power"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",நெறி செறி வெறி உறு முறல் விறல் வணங்கு அணங்கு வில்,"Path filled, frenzy possessing, strength valor bowing goddess bow",விறல்,VALOR_COURAGE,"Valor, courage"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",நெறி செறி வெறி உறு முறல் விறல் வணங்கு அணங்கு வில்,"Path filled, frenzy possessing, strength valor bowing goddess bow",வணங்கு,VERB_BOW,"Bow, worship; verb"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",நெறி செறி வெறி உறு முறல் விறல் வணங்கு அணங்கு வில்,"Path filled, frenzy possessing, strength valor bowing goddess bow",அணங்கு,GODDESS_DIVINEFEMALE,"Goddess, divine female being"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",நெறி செறி வெறி உறு முறல் விறல் வணங்கு அணங்கு வில்,"Path filled, frenzy possessing, strength valor bowing goddess bow",வில்,WEAPON_BOW,"Bow (weapon)"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",தார் அணி துணி மணி வெயில் உறழ் எழில் புகழ் அலர் மார்பின்,"Garland ornament cloth jewel sunlight competing beauty praise blossom chest",தார்,GARLAND_WREATH,"Garland, wreath; floral ornament"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",தார் அணி துணி மணி வெயில் உறழ் எழில் புகழ் அலர் மார்பின்,"Garland ornament cloth jewel sunlight competing beauty praise blossom chest",அணி,ORNAMENT_DECORATION,"Ornament"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",தார் அணி துணி மணி வெயில் உறழ் எழில் புகழ் அலர் மார்பின்,"Garland ornament cloth jewel sunlight competing beauty praise blossom chest",துணி,CLOTH_GARMENT,"Cloth"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",தார் அணி துணி மணி வெயில் உறழ் எழில் புகழ் அலர் மார்பின்,"Garland ornament cloth jewel sunlight competing beauty praise blossom chest",மணி,JEWEL_GEM,"Jewel, gem"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",தார் அணி துணி மணி வெயில் உறழ் எழில் புகழ் அலர் மார்பின்,"Garland ornament cloth jewel sunlight competing beauty praise blossom chest",வெயில்,SUNLIGHT_HEAT,"Sunlight, heat"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",தார் அணி துணி மணி வெயில் உறழ் எழில் புகழ் அலர் மார்பின்,"Garland ornament cloth jewel sunlight competing beauty praise blossom chest",உறழ்,VERB_COMPETE,"Compete, vie with; verb"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",தார் அணி துணி மணி வெயில் உறழ் எழில் புகழ் அலர் மார்பின்,"Garland ornament cloth jewel sunlight competing beauty praise blossom chest",எழில்,BEAUTY_GRACE,"Beauty, grace"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",தார் அணி துணி மணி வெயில் உறழ் எழில் புகழ் அலர் மார்பின்,"Garland ornament cloth jewel sunlight competing beauty praise blossom chest",புகழ்,PRAISE_FAME,"Praise, fame"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",தார் அணி துணி மணி வெயில் உறழ் எழில் புகழ் அலர் மார்பின்,"Garland ornament cloth jewel sunlight competing beauty praise blossom chest",அலர்,BLOOM_BLOSSOM,"Bloom, blossom; also gossip"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",தார் அணி துணி மணி வெயில் உறழ் எழில் புகழ் அலர் மார்பின்,"Garland ornament cloth jewel sunlight competing beauty praise blossom chest",மார்பின்,BODY_PART_CHEST_GENITIVE,"Of the chest; genitive case"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",எரி வயிர நுதி எறி படை எருத்து மலை இவர் நவையினில்,"Fire diamond tip throwing weapon neck mountain these faults in",எரி,FIRE_FLAME,"Fire"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",எரி வயிர நுதி எறி படை எருத்து மலை இவர் நவையினில்,"Fire diamond tip throwing weapon neck mountain these faults in",வயிர,MATERIAL_DIAMOND,"Diamond; hard gemstone"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",எரி வயிர நுதி எறி படை எருத்து மலை இவர் நவையினில்,"Fire diamond tip throwing weapon neck mountain these faults in",நுதி,TIP_POINT,"Tip, point; of arrow or weapon"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",எரி வயிர நுதி எறி படை எருத்து மலை இவர் நவையினில்,"Fire diamond tip throwing weapon neck mountain these faults in",எறி,VERB_THROW,"Throw, hurl; verb"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",எரி வயிர நுதி எறி படை எருத்து மலை இவர் நவையினில்,"Fire diamond tip throwing weapon neck mountain these faults in",படை,WEAPON_ARMY,"Weapon; also army"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",எரி வயிர நுதி எறி படை எருத்து மலை இவர் நவையினில்,"Fire diamond tip throwing weapon neck mountain these faults in",எருத்து,NECK_THROAT,"Neck, throat"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",எரி வயிர நுதி எறி படை எருத்து மலை இவர் நவையினில்,"Fire diamond tip throwing weapon neck mountain these faults in",மலை,MOUNTAIN_HILL,"Mountain, hill"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",எரி வயிர நுதி எறி படை எருத்து மலை இவர் நவையினில்,"Fire diamond tip throwing weapon neck mountain these faults in",இவர்,PRONOUN_THESE,"These; plural demonstrative"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",எரி வயிர நுதி எறி படை எருத்து மலை இவர் நவையினில்,"Fire diamond tip throwing weapon neck mountain these faults in",நவையினில்,FAULT_DEFECT_LOCATIVE,"In faults; locative case"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",துணி படல் இன மணி வெயில் உறழ் எழில் நக்கு,"Cloth falling swarm jewel sunlight competing beauty smiling",துணி,CLOTH_GARMENT,"Cloth"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",துணி படல் இன மணி வெயில் உறழ் எழில் நக்கு,"Cloth falling swarm jewel sunlight competing beauty smiling",படல்,FALLING_DESCENDING,"Falling, descending"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",துணி படல் இன மணி வெயில் உறழ் எழில் நக்கu,"Cloth falling swarm jewel sunlight competing beauty smiling",இன,SWARM_GROUP,"Swarm, group; collective noun"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",துணி படல் இன மணி வெயில் உறழ் எழில் நக்கு,"Cloth falling swarm jewel sunlight competing beauty smiling",மணி,JEWEL_GEM,"Jewel"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",துணி படல் இன மணி வெயில் உறழ் எழில் நக்கு,"Cloth falling swarm jewel sunlight competing beauty smiling",வெயில்,SUNLIGHT_HEAT,"Sunlight"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",துணி படல் இன மணி வெயில் உறழ் எழில் நக்கு,"Cloth falling swarm jewel sunlight competing beauty smiling",உறழ்,VERB_COMPETE,"Compete"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",துணி படல் இன மணி வெயில் உறழ் எழில் நக்கு,"Cloth falling swarm jewel sunlight competing beauty smiling",எழில்,BEAUTY_GRACE,"Beauty"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",துணி படல் இன மணி வெயில் உறழ் எழில் நக்கு,"Cloth falling swarm jewel sunlight competing beauty smiling",நக்கு,VERB_SMILE,"Smile, grin; verb"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",இமை இருள் அகல முறு கிறுகு புரி ஒரு புரி நாள்மலர்,"Eyelid darkness departs, arranged lines, one line day-flower",இமை,BODY_PART_EYELID,"Eyelid; body part"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",இமை இருள் அகல முறு கிறுகு புரி ஒரு புரி நாள்மலர்,"Eyelid darkness departs, arranged lines, one line day-flower",இருள்,DARKNESS_GLOOM,"Darkness, gloom"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",இமை இருள் அகல முறு கிறுகு புரி ஒரு புரி நாள்மலர்,"Eyelid darkness departs, arranged lines, one line day-flower",அகல,VERB_DEPART,"Depart, leave; verb"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",இமை இருள் அகல முறு கிறுகு புரி ஒரு புரி நாள்மலர்,"Eyelid darkness departs, arranged lines, one line day-flower",முறு,ARRANGED_ORDERED,"Arranged, ordered"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",இமை இருள் அகல முறு கிறுகு புரி ஒரு புரி நாள்மலர்,"Eyelid darkness departs, arranged lines, one line day-flower",கிறுகு,LINES_STRIPES,"Lines, stripes"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",இமை இருள் அகல முறு கிறுகு புரி ஒரு புரி நாள்மலர்,"Eyelid darkness departs, arranged lines, one line day-flower",புரி,LINE_STRAND,"Line, strand, twist"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",இமை இருள் அகல முறு கிறுகு புரி ஒரு புரி நாள்மலர்,"Eyelid darkness departs, arranged lines, one line day-flower",ஒரு,ONE_SINGLE,"One, single"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",இமை இருள் அகல முறு கிறுகு புரி ஒரு புரி நாள்மலர்,"Eyelid darkness departs, arranged lines, one line day-flower",புரி,LINE_STRAND,"Line, strand"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",இமை இருள் அகல முறு கிறுகு புரி ஒரு புரி நாள்மலர்,"Eyelid darkness departs, arranged lines, one line day-flower",நாள்மலர்,FLOWER_DAY,"Day-flower; blooms during daytime"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",மலர் இலகின வளர் பரிதியின் ஒளி மணி மார்பு அணி,"Flowers shine, growing sun's light jewel chest ornament",மலர்,FLOWER_BLOSSOM,"Flower, blossom"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",மலர் இலகின வளர் பரிதியின் ஒளி மணி மார்பு அணி,"Flowers shine, growing sun's light jewel chest ornament",இலகின,VERB_SHINE,"Shine, glitter; past tense"
"Poem 1: Hymn to Lord Vishnu describing his divine form, attributes, and cosmic significance",மலர் இலகின வளர் பரிதியின் ஒளி மணி மார்பு அணி,"Flowers shine, growing sun's light jewel chest ornament",வளர்,VERB_GROW,"Grow, flourish; verb"
