text,label
பின் நின்று துரக்கும் நெஞ்சம்! நின் வாய்,ETTUTHOGAI
"வாய் போல் பொய்ம்மொழி எவ்வமென் களைமா,",ETTUTHOGAI
"கவிர் இதழ் அன்ன காண்பு இன் செவ்வாய்,",ETTUTHOGAI
"அம் தீம் கிளவி, ஆயிழை மடந்தை",ETTUTHOGAI
கொடுங்குழைக்கு அமர்த்த நோக்கம்,ETTUTHOGAI
நெடுஞ்சேண் ஆரிடை விலங்கும் ஞான்றே?,ETTUTHOGAI
"முல்லை வைந்நுனை தோன்ற, இல்லமொடு",ETTUTHOGAI
"பைங்கால் கொன்றை மெல் பிணி அவிழ,",ETTUTHOGAI
இரும்பு திரித்தன்ன மா இரு மருப்பின்,ETTUTHOGAI
"பரல் அவல் அடைய இரலை தெறிப்ப,",ETTUTHOGAI
"மலர்ந்த ஞாலம் புலம்பு புறக்கொடுப்ப,",ETTUTHOGAI
கருவி வானம் கதழுறை சிதறிக்,ETTUTHOGAI
"கார் செய்தன்றே கவின் பெறு கானம்,",ETTUTHOGAI
"குரங்கு உளைப் பொலிந்த கொய் சுவல் புரவி,",ETTUTHOGAI
"நரம்பு ஆர்த்தன்ன வாங்கு வள் பரிய,",ETTUTHOGAI
பூத்த பொங்கர்த் துணையொடு வதிந்த,ETTUTHOGAI
"தாது உண் பறவை பேதுறல் அஞ்சி,",ETTUTHOGAI
"மணி நா ஆர்த்த மாண் வினைத் தேரன்,",ETTUTHOGAI
"உவக்காண், தோன்றும், குறும்பொறை நாடன்",ETTUTHOGAI
"கறங்கு இசை விழவின் உறந்தைக் குணாது,",ETTUTHOGAI
நெடும் பெருங்குன்றத்து அமன்ற காந்தள்,ETTUTHOGAI
போது அவிழ் அலரின் நாறும்,ETTUTHOGAI
"ஆய் தொடி அரிவை, நின் மாண் நலம் படர்ந்தே.",ETTUTHOGAI
"அளி நிலை பொறாஅது அமரிய முகத்தள்,",ETTUTHOGAI
"விளி நிலை கொள்ளாள், தமியள், மென்மெல",ETTUTHOGAI
"நலமிகு சேவடி நிலம் வடுக்கொளாஅக்,",ETTUTHOGAI
குறுக வந்து தன் கூர் எயிறு தோன்ற,ETTUTHOGAI
"வறிது அகத்து எழுந்த வாயல் முறுவலள்,",ETTUTHOGAI
"கண்ணியது உணரா அளவை ஒண்ணுதல்,",ETTUTHOGAI
"வினை தலைப்படுதல் செல்லா நினைவுடன்,",ETTUTHOGAI
முளிந்த ஓமை முதையலம் காட்டுப்,ETTUTHOGAI
பளிங்கத்து அன்ன பல் காய் நெல்லி,ETTUTHOGAI
"மோட்டு இரும் பாறை ஈட்டு வட்டு ஏய்ப்ப,",ETTUTHOGAI
உதிர்வன படூஉம் கதிர் தெறு கவாஅன்,ETTUTHOGAI
மாய்த்த போல மழுகு நுனை தோற்றி,ETTUTHOGAI
பாத்தியன்ன குடுமிக் கூர்ங்கல்,ETTUTHOGAI
"விரல் நுதி சிதைக்கும் நிரை நிலை அதர,",ETTUTHOGAI
பரல் முரம்பு ஆகிய பயம் இல் கானம்,ETTUTHOGAI
"இறப்ப எண்ணுதிர் ஆயின், ‘அறத்தாறு",ETTUTHOGAI
அன்று’ என மொழிந்த தொன்றுபடு கிளவி,ETTUTHOGAI
"அன்ன ஆக என்னுநள் போல,",ETTUTHOGAI
"முன்னம் காட்டி, முகத்தின் உரையா,",ETTUTHOGAI
"ஓவச் செய்தியின் ஒன்று நினைந்து ஒற்றி,",ETTUTHOGAI
"பாவை மாய்த்த பனி நீர் நோக்கமொடு,",ETTUTHOGAI
ஆகத்து ஒடுக்கிய புதல்வன் புன்தலைத்,ETTUTHOGAI
தூ நீர் பயந்த துணையமை பிணையல்,ETTUTHOGAI
"மோயினள் உயிர்த்த காலை, மா மலர்",ETTUTHOGAI
மணி உரு இழந்த அணி அழி தோற்றம்,ETTUTHOGAI
"கண்டு கடிந்தனம் செலவே, ஒண்தொடி",ETTUTHOGAI
உழையம் ஆகவும் இனைவோள்,ETTUTHOGAI
"பிழையலள் மாதோ, பிரிதும் நாம் எனினே.",ETTUTHOGAI
அரி பெய் சிலம்பின் ஆம்பல் அம் தொடலை,ETTUTHOGAI
"அரம் போழ் அவ் வளைப் பொலிந்த முன்கை,",ETTUTHOGAI
"இழை அணி பணைத்தோள், ஐயை தந்தை,",ETTUTHOGAI
"மழை வளம் தரூஉம் மா வண்  தித்தன்,",ETTUTHOGAI
"பிண்ட நெல்லின் உறந்தை ஆங்கண்,",ETTUTHOGAI
"கழை நிலை பெறாஅக் காவிரி நீத்தம்,",ETTUTHOGAI
"குழை மாண் ஒள்ளிழை நீ வெய்யோளொடு,",ETTUTHOGAI
வேழ வெண்புணை தழீஇப் பூழியர்,ETTUTHOGAI
"கயம் நாடு யானையின் முகன் அமர்ந்து ஆங்கு,",ETTUTHOGAI
ஏந்து எழில் ஆகத்து பூந்தார் குழைய,ETTUTHOGAI
நெருநல் ஆடினை புனலே இன்று வந்து,ETTUTHOGAI
"ஆக வன முலை அரும்பிய சுணங்கின்,",ETTUTHOGAI
மாசு இல் கற்பின் புதல்வன் தாய் என,ETTUTHOGAI
"மாயப் பொய்ம்மொழி சாயினை பயிற்றி, எம்",ETTUTHOGAI
"முதுமை எள்ளல் அஃது அமைகும் தில்ல,",ETTUTHOGAI
சுடர்ப் பூந்தாமரை நீர் முதிர் பழனத்து,ETTUTHOGAI
"அம் தூம்பு வள்ளை ஆய் கொடி மயக்கி,",ETTUTHOGAI
வாளை மேய்ந்த வள் எயிற்று நீர்நாய்,ETTUTHOGAI
முள்ளரைப் பிரம்பின் மூதரில் செறியும்,ETTUTHOGAI
பல் வேல் மத்தி கழாஅர் அன்ன எம்,ETTUTHOGAI
"இளமை சென்று தவத் தொல்லஃதே,",ETTUTHOGAI
"இனிமை எவன் செய்வது, பொய்ம்மொழி எமக்கே?",ETTUTHOGAI
"‘முலை முகம் செய்தன, முள் எயிறு இலங்கின,",ETTUTHOGAI
"தலை முடி சான்ற தண் தழை உடையை,",ETTUTHOGAI
"அலமரல் ஆயமொடு யாங்கணும் படாஅல்,",ETTUTHOGAI
"மூப்புடை முது பதி தாக்கு அணங்கு உடைய,",ETTUTHOGAI
"காப்பும் பூண்டிசின் கடையும் போகலை,",ETTUTHOGAI
பேதை அல்லை மேதை அம் குறுமகள்!,ETTUTHOGAI
பெதும்பைப் பருவத்து ஒதுங்கினை புறத்து’ என,ETTUTHOGAI
"ஒண் சுடர் நல் இல் அருங்கடி நீவி,",ETTUTHOGAI
"தன் சிதைவு அறிதல் அஞ்சி, இன் சிலை",ETTUTHOGAI
ஏறுடை இனத்த நாறு உயிர் நவ்வி!,ETTUTHOGAI
"வலை காண் பிணையின் போகி, ஈங்கு ஓர்",ETTUTHOGAI
தொலைவு இல் வெள் வேல் விடலையொடு என் மகள்,ETTUTHOGAI
"இச் சுரம் படர்தந்தோளே, ஆயிடை,",ETTUTHOGAI
"அத்தக் கள்வர் ஆ தொழு அறுத்தென,",ETTUTHOGAI
பிற்படு பூசலின் வழிவழி ஓடி,ETTUTHOGAI
மெய்த் தலைப்படுதல் செய்யேன் இத்தலை,ETTUTHOGAI
நின்னொடு வினவல் கேளாய்! பொன்னொடு,ETTUTHOGAI
"புலிப்பல் கோத்த புலம்பு மணித் தாலி,",ETTUTHOGAI
"ஒலிக் குழைச் செயலை உடை மாண் அல்குல்,",ETTUTHOGAI
ஆய் சுளைப் பலவின் மேய் கலை உதிர்த்த,ETTUTHOGAI
துய்த்தலை வெண்காழ் பெறூஉம்,ETTUTHOGAI
கல் கெழு சிறுகுடிக் கானவன் மகளே.,ETTUTHOGAI
ஈயல் புற்றத்து ஈர்ம் புறத்து இறுத்த,ETTUTHOGAI
குரும்பி வல்சிப் பெருங்கை ஏற்றைக்,ETTUTHOGAI
"தூங்கு தோல் துதிய வள் உகிர் கதுவலின்,",ETTUTHOGAI
பாம்பு மதன் அழியும் பானாள் கங்குலும்,ETTUTHOGAI
"அரிய அல்ல மன், இகுளை, பெரிய",ETTUTHOGAI
கேழல் அட்ட பேழ் வாய் ஏற்றைப்,ETTUTHOGAI
பலா அமல் அடுக்கம் புலாவ ஈர்க்கும்,ETTUTHOGAI
"கழை நரல் சிலம்பின் ஆங்கண், வழையொடு",ETTUTHOGAI
வாழை ஓங்கிய தாழ் கண் அசும்பில்,ETTUTHOGAI
"படு கடுங்களிற்றின் வருத்தம் சொலியப்,",ETTUTHOGAI
பிடி படி முறுக்கிய பெரு மரப் பூசல்,ETTUTHOGAI
"விண் தோய் விடர் அகத்து இயம்பும் அவர் நாட்டு,",ETTUTHOGAI
"எண் அரும் பிறங்கல் மான் அதர் மயங்காது,",ETTUTHOGAI
மின்னு விடச் சிறிய ஒதுங்கி மென்மெலத்,ETTUTHOGAI
துளி தலைத்தலைஇய மணி ஏர் ஐம்பால்,ETTUTHOGAI
"சிறுபுறம் புதைய வாரி குரல் பிழியூஉ,",ETTUTHOGAI
"நெறி கெட விலங்கிய நீயிர், இச் சுரம்",ETTUTHOGAI
"அறிதலும் அறிதிரோ, என்னுநர்ப் பெறினே.",ETTUTHOGAI
"கொல் வினைப் பொலிந்த கூர்ங்குறு புழுகின்,",ETTUTHOGAI
வில்லோர் தூணி வீங்கப் பெய்த,ETTUTHOGAI
"அப்பு நுனை ஏய்ப்ப அரும்பிய இருப்பை,",ETTUTHOGAI
செப்பு அடர் அன்ன செங்குழை அகந்தோறு,ETTUTHOGAI
இழுதின் அன்ன தீம் புழல் துய்வாய்,ETTUTHOGAI
உழுது காண் துளையவாகி ஆர் கழல்பு,ETTUTHOGAI
"ஆலி வானின் காலொடு பாறித்,",ETTUTHOGAI
"துப்பின் அன்ன செங்கோட்டு இயவின்,",ETTUTHOGAI
நெய்த்தோர் மீமிசை நிணத்தின் பரிக்கும்,ETTUTHOGAI
"அத்தம் நண்ணிய அம் குடிச் சீறூர்,",ETTUTHOGAI
கொடு நுண் ஓதி மகளிர் ஓக்கிய,ETTUTHOGAI
"தொடி மாண் உலக்கைத் தூண்டு உரல் பாணி,",ETTUTHOGAI
நெடுமால் வரைய குடிஞையோடு இரட்டும்,ETTUTHOGAI
"குன்று பின் ஒழியப் போகி உரம் துரந்து,",ETTUTHOGAI
"ஞாயிறு படினும், ஊர் சேய்த்து எனாது,",ETTUTHOGAI
துனை பரி துரக்கும் துஞ்சா செலவின்,ETTUTHOGAI
"எம்மினும் விரைந்து வல் எய்திப், பல் மாண்",ETTUTHOGAI
"ஓங்கிய நல் இல் ஒரு சிறை நிலைஇ,",ETTUTHOGAI
"பாங்கர்ப் பல்லி படுதொறும் பரவிக்,",ETTUTHOGAI
"கன்று புகு மாலை நின்றோள் எய்தி,",ETTUTHOGAI
"கை கவியாச் சென்று கண் புதையாக் குறுகி,",ETTUTHOGAI
"பிடிக்கை அன்ன பின்னகம் தீண்டி,",ETTUTHOGAI
"தொடிக்கை தைவரத் தோய்ந்தன்று கொல்லோ,",ETTUTHOGAI
"நாணொடு மிடைந்த கற்பின் வாணுதல்,",ETTUTHOGAI
அம் தீம் கிளவிக் குறுமகள்,ETTUTHOGAI
மென் தோள் பெற நசைஇச் சென்ற என் நெஞ்சே?,ETTUTHOGAI
"வான் கடல் பரப்பில் தூவற்கு எதிரிய,",ETTUTHOGAI
"மீன் கண்டன்ன மெல்லரும்பு ஊழ்த்த,",ETTUTHOGAI
"முடவு முதிர் புன்னைத் தடவு நிலை மாச்சினை,",ETTUTHOGAI
புள் இறை கூரும் மெல்லம்புலம்ப!,ETTUTHOGAI
நெய்தல் உண்கண் பைதல கலுழப்,ETTUTHOGAI
"பிரிதல் எண்ணினை ஆயின், நன்றும்",ETTUTHOGAI
அரிது துற்றனையால் பெரும! உரிதினில்,ETTUTHOGAI
"கொண்டு ஆங்குப் பெயர்தல் வேண்டும், கொண்டலொடு",ETTUTHOGAI
குரூஉத் திரைப் புணரி உடைதரும் எக்கர்ப்,ETTUTHOGAI
பழந்திமில் கொன்ற புது வலைப் பரதவர்,ETTUTHOGAI
"மோட்டு மணல் அடைகரைக் கோட்டு மீன் கொண்டி,",ETTUTHOGAI
மணங்கமழ் பாக்கத்துப் பகுக்கும்,ETTUTHOGAI
வளங்கெழு தொண்டி அன்ன இவள் நலனே.,ETTUTHOGAI
"வானம் ஊர்ந்த வயங்கு ஒளி மண்டிலம்,",ETTUTHOGAI
"நெருப்பெனச் சிவந்த உருப்பு அவிர் அம் காட்டு,",ETTUTHOGAI
இலை இல மலர்ந்த முகை இல் இலவம்,ETTUTHOGAI
கலி கொள் ஆயம் மலிபு தொகுபு எடுத்த,ETTUTHOGAI
"அம் சுடர் நெடுங்கொடி பொற்பத் தோன்றி,",ETTUTHOGAI
கயந்துகள் ஆகிய பயந்தபு கானம்,ETTUTHOGAI
"எம்மொடு கழிந்தனர் ஆயின், கம்மென,",ETTUTHOGAI
வம்பு விரித்தன்ன பொங்கு மணல் கான் யாற்றுப்,ETTUTHOGAI
"படுசினை தாழ்ந்த பயில் இணர் எக்கர்,",ETTUTHOGAI
மெய் புகுவு அன்ன கை கவர் முயக்கம்,ETTUTHOGAI
"அவரும் பெறுகுவர் மன்னே, நயவர",ETTUTHOGAI
நீர் வார் நிகர் மலர் கடுப்ப ஓ மறந்து,ETTUTHOGAI
அறு குளம் நிறைக்குந போல அல்கலும்,ETTUTHOGAI
பழி தீர் கண்ணும் படுகுவ மன்னே.,ETTUTHOGAI
"யாயே கண்ணினும் கடுங்காதலளே,",ETTUTHOGAI
"எந்தையும் நிலன் உறப் பொறாஅன், “சீறடி சிவப்ப",ETTUTHOGAI
"எவன் இல குறுமகள் இயங்குதி?’ என்னும்,",ETTUTHOGAI
யாமே பிரிவு இன்று இயைந்த துவரா நட்பின்,ETTUTHOGAI
"இருதலைப் புள்ளின் ஓர் உயிரம்மே,",ETTUTHOGAI
"ஏனல் அம் காவலர் ஆனாது ஆர்த்தொறும்,",ETTUTHOGAI
கிளி விளி பயிற்றும் வெளில் ஆடு பெருஞ்சினை,ETTUTHOGAI
"விழுக்கோட் பலவின் பழுப் பயங்கொண்மார்,",ETTUTHOGAI
"குறவர் ஊன்றிய குரம்பை புதைய,",ETTUTHOGAI
வேங்கை தாஅய தேம்பாய் தோற்றம்,ETTUTHOGAI
"புலி செத்து  வெரீஇய புகர்முக வேழம்,",ETTUTHOGAI
மழை படு சிலம்பில் கழை படப் பெயரும்,ETTUTHOGAI
நல் வரை நாட! நீ வரின்,ETTUTHOGAI
மெல்லியல் ஓரும் தான் வாழலளே.,ETTUTHOGAI
"தன் கடல் பிறந்த முத்தின் ஆரமும்,",ETTUTHOGAI
"முனை திறை கொடுக்கும் துப்பின், தன் மலைத்",ETTUTHOGAI
"தெறல் அரு மரபின் கடவுள் பேணிக்,",ETTUTHOGAI
குறவர் தந்த சந்தின் ஆரமும்,ETTUTHOGAI
இரு பேர் ஆரமும் எழில் பெற அணியும்,ETTUTHOGAI
"திரு வீழ் மார்பின் தென்னவன் மறவன்,",ETTUTHOGAI
குழியில் கொண்ட மராஅ யானை,ETTUTHOGAI
"மொழியின் உணர்த்தும் சிறு வரை அல்லது,",ETTUTHOGAI
"வரை நிலை இன்றி இரவலர்க்கு ஈயும்,",ETTUTHOGAI
வள்வாய் அம்பின் கோடைப் பொருநன்,ETTUTHOGAI
பண்ணி தைஇய பயங்கெழு வேள்வியின்,ETTUTHOGAI
"விழுமிது நிகழ்வது ஆயினும், தெற்கு ஏர்பு",ETTUTHOGAI
"கழி மழை பொழிந்த பொழுது கொள் அமையத்துச்,",ETTUTHOGAI
"சாயல் இன் துணை இவள் பிரிந்து உறையின்,",ETTUTHOGAI
"நோய் இன்றாக செய் பொருள், வயிற்பட",ETTUTHOGAI
மாசு இல் தூ மடி விரிந்த சேக்கை,ETTUTHOGAI
"கவவு இன்புறாமைக் கழிக, வள வயல்",ETTUTHOGAI
அழல் நுதி அன்ன தோகை ஈன்ற,ETTUTHOGAI
கழனி நெல்லின் கவை முதல் அலங்கல்,ETTUTHOGAI
நிரம்பு அகன் செறுவில் வரம்பு அணையாத் துயல்வரப்,ETTUTHOGAI
"புலம்பொடு வந்த பொழுது கொள் வாடை,",ETTUTHOGAI
இலங்கு பூங்கரும்பின் ஏர் கழை இருந்த,ETTUTHOGAI
வெண்குருகு நரல வீசும்,ETTUTHOGAI
நுண் பல் துவலைய தண் பனி நாளே.,ETTUTHOGAI
"“அரக்கத்து அன்ன செந்நிலப் பெருவழி,",ETTUTHOGAI
காயாஞ்செம்மல் தாஅய் பல உடன்,ETTUTHOGAI
ஈயல் மூதாய் வரிப்பப் பவளமொடு,ETTUTHOGAI
மணி மிடைந்தன்ன குன்றம் கவைஇய,ETTUTHOGAI
"அம் காட்டு ஆர் இடை, மடப் பிணை தழீஇத்",ETTUTHOGAI
"திரி மருப்பு இரலை புல் அருந்து உகள,",ETTUTHOGAI
முல்லை வியன் புலம் பரப்பிக் கோவலர்,ETTUTHOGAI
"குறும்பொறை மருங்கின் நறும்பூ அயரப்,",ETTUTHOGAI
பதவு மேயல் அருந்து மதவு நடை நல் ஆன்,ETTUTHOGAI
"வீங்கு மாண் செருத்தல், தீம் பால் பிலிற்ற",ETTUTHOGAI
கன்று பயிர் குரல மன்று நிறை புகுதரும்,ETTUTHOGAI
"மாலையும் உள்ளார் ஆயின், காலை",ETTUTHOGAI
யாங்கு ஆகுவம் கொல் பாண?” என்ற,ETTUTHOGAI
"மனையோள் சொல் எதிர் சொல்லல் செல்லேன்,",ETTUTHOGAI
"செவ்வழி நல் யாழ் இசையினென், பையெனக்",ETTUTHOGAI
"கடவுள் வாழ்த்திப் பையுள் மெய்ந்நிறுத்தி,",ETTUTHOGAI
"அவர் திறம் செல்வேன் கண்டனென் யானே,",ETTUTHOGAI
விடு விசைக் குதிரை விலங்கு பரி முடுகக்,ETTUTHOGAI
கல் பொருது இரங்கும் பல் ஆர் நேமிக்,ETTUTHOGAI
"கார் மழை முழக்கு இசை கடுக்கும்,",ETTUTHOGAI
முனை நல் ஊரன் புனை நெடுந்தேரே.,ETTUTHOGAI
"எம் வெங்காமம் இயைவது ஆயின்,",ETTUTHOGAI
மெய்ம்மலி பெரும்பூண் செம்மல் கோசர்,ETTUTHOGAI
கொம்மையம் பசுங்காய்க் குடுமி விளைந்த,ETTUTHOGAI
பாகல் ஆர்கைப் பறைக் கண் பீலித்,ETTUTHOGAI
"தோகைக் காவின் துளு நாட்டு அன்ன,",ETTUTHOGAI
வறுங்கை வம்பலர் தாங்கும் பண்பின்,ETTUTHOGAI
செறிந்த சேரிச் செம்மல் மூதூர்,ETTUTHOGAI
"அறிந்த மாக்கட்டு ஆகுக தில்ல,",ETTUTHOGAI
"தோழிமாரும் யானும் புலம்பச்,",ETTUTHOGAI
சூழி யானைச் சுடர்ப் பூண் நன்னன்,ETTUTHOGAI
பாழி அன்ன கடி உடை வியன் நகர்ச்,ETTUTHOGAI
"செறிந்த காப்பு இகந்து, அவனொடு போகி,",ETTUTHOGAI
அத்த இருப்பை ஆர் கழல் புதுப்பூத்,ETTUTHOGAI
"துய்த்த வாய துகள் நிலம் பரக்க,",ETTUTHOGAI
"கொன்றை அம் சினைக் குழல் பழம் கொழுதி,",ETTUTHOGAI
வன்கை எண்கின் வய நிரை பரக்கும்,ETTUTHOGAI
இன்துணைப் படர்ந்த கொள்கையொடு ஒராங்குக்,ETTUTHOGAI
குன்ற வேயின் திரண்ட என்,ETTUTHOGAI
மென்தோள் அஞ்ஞை சென்ற ஆறே.,ETTUTHOGAI
நாயுடை முதுநீர்க் கலித்த தாமரைத்,ETTUTHOGAI
"தாதின் அல்லி அவிர் இதழ் புரையும்,",ETTUTHOGAI
"மாசு இல் அங்கை மணி மருள் அவ்வாய்,",ETTUTHOGAI
"நாவொடு நவிலா நகைபடு தீஞ்சொல்,",ETTUTHOGAI
யாவரும் விழையும் பொலந்தொடிப் புதல்வனைத்,ETTUTHOGAI
"தேர் வழங்கு தெருவில் தமியோன் கண்டே,",ETTUTHOGAI
"கூர் எயிற்று அரிவை குறுகினள், யாவரும்",ETTUTHOGAI
"காணுநர் இன்மையின் செத்தனள், பேணிப்",ETTUTHOGAI
பொலங்கலம் சுமந்த பூண் தாங்கு இளமுலை,ETTUTHOGAI
“வருக மாள என் உயிர்” எனப் பெரிது உவந்து,ETTUTHOGAI
"கொண்டனள், நின்றோள் கண்டு நிலைச் செல்லேன்,",ETTUTHOGAI
“மாசு இல் குறுமகள்! எவன் பேதுற்றனை?,ETTUTHOGAI
நீயும் தாயை இவற்கு” என யான் தற்,ETTUTHOGAI
"கரைய வந்து விரைவனென் கவைஇ,",ETTUTHOGAI
"களவு உடம்படுநரின் கவிழ்ந்து, நிலம் கிளையா",ETTUTHOGAI
"நாணி நின்றோள் நிலை கண்டு, யானும்",ETTUTHOGAI
"பேணினென் அல்லனோ மகிழ்ந, வானத்து",ETTUTHOGAI
அணங்கு அருங்கடவுள் அன்னோள் நின்,ETTUTHOGAI
மகன் தாய் ஆதல் புரைவது ஆங்கு எனவே?,ETTUTHOGAI
"வளங்கெழு திரு நகர்ப் பந்து சிறிது எறியினும்,",ETTUTHOGAI
"இளந்துணை ஆயமொடு கழங்கு உடன் ஆடினும்,",ETTUTHOGAI
“உயங்கின்று அன்னை என் மெய்” என்று அசைஇ,ETTUTHOGAI
மயங்கு வியர் பொறித்த நுதலள் தண்ணென,ETTUTHOGAI
"முயங்கினள் வதியும் மன்னே, இனியே,",ETTUTHOGAI
"தொடி மாண் சுற்றமும் எம்மும் உள்ளாள்,",ETTUTHOGAI
"நெடுமொழித் தந்தை அருங்கடி நீவி,",ETTUTHOGAI
நொதுமலாளன் நெஞ்சு அறப் பெற்ற என்,ETTUTHOGAI
சிறு முதுக்குறைவி சிலம்பு ஆர் சீறடி,ETTUTHOGAI
"வல்ல கொல் செல்லத் தாமே, கல்லென",ETTUTHOGAI
ஊர் எழுந்தன்ன உருகெழு செலவின்,ETTUTHOGAI
"நீர் இல் அத்தத்து, ஆர் இடை மடுத்த",ETTUTHOGAI
கொடுங்கோல் உமணர் பகடு தெழி தெள் விளி,ETTUTHOGAI
"நெடும் பெருங்குன்றத்து இமிழ் கொள இயம்பும்,",ETTUTHOGAI
கடுங்கதிர் திருகிய வேய் பயில் பிறங்கல்,ETTUTHOGAI
பெருங்களிறு உரிஞ்சிய மண் அரை யாஅத்து,ETTUTHOGAI
"அருஞ்சுரக் கவலைய அதர் படு மருங்கின்,",ETTUTHOGAI
நீள் அரை இலவத்து ஊழ் கழி பல் மலர்,ETTUTHOGAI
விழவுத் தலைக்கொண்ட பழ விறல் மூதூர்,ETTUTHOGAI
நெய் உமிழ் சுடரின் கால் பொரச் சில்கி,ETTUTHOGAI
"வைகுறு மீனின் தோன்றும்,",ETTUTHOGAI
மைபடு மாமலை விலங்கிய சுரனே.,ETTUTHOGAI
"நீர் நிறம் கரப்ப, ஊழுறுபு உதிர்ந்து,",ETTUTHOGAI
"பூ மலர் கஞலிய கடுவரல் கான்யாற்று,",ETTUTHOGAI
"கராஅம் துஞ்சும் கல் உயர் மறி சுழி,",ETTUTHOGAI
"மராஅ யானை மதம் தப ஒற்றி,",ETTUTHOGAI
"உராஅ ஈர்க்கும் உட்குவரு நீத்தம்,",ETTUTHOGAI
"கடுங்கண் பன்றியின் நடுங்காது துணிந்து,",ETTUTHOGAI
"நாம அருந்துறைப் பேர்தந்து, யாமத்து",ETTUTHOGAI
"ஈங்கும் வருபவோ, ஓங்கல் வெற்ப?",ETTUTHOGAI
"ஒரு நாள் விழுமம் உறினும், வழிநாள்",ETTUTHOGAI
"வாழ்குவள் அல்லள் என் தோழி, யாவதும்",ETTUTHOGAI
ஊறு இல் வழிகளும் பயில வழங்குநர்,ETTUTHOGAI
நீடு இன்று ஆக இழுக்குவர் அதனால்,ETTUTHOGAI
உலமரல் வருத்தம் உறுதும் எம் படப்பைக்,ETTUTHOGAI
