காலொடு,NATURE,with winds
பட்ட,O,verb meaning fell
மாரி,NATURE,rain
மால்,NATURE,lofty
வரை,MOUNTAIN,mountains
மிளிர்க்கும்,O,verb meaning makes roll
உருமினும்,NATURE,more than thunder
கொடிதே,O,adjective meaning cruel
**Poem 3**,,
ஈன்,BIRD,female
பருந்து,BIRD,kite
உயவும்,O,verb meaning grieves
வான்,NATURE,sky
பொரு,O,verb meaning hitting
நெடுஞ்சினை,PLANT,tall branches
பொரி,O,adjective meaning rough or cracked
அரை,PLANT,trunk
வேம்பின்,PLANT,neem tree's
புள்ளி,O,dotted
நீழல்,NATURE,shade
கட்டளை,OBJECT,touchstone
அன்ன,O,like
இட்டு,O,verb meaning drawing
அரங்கு,STRUCTURE,squares
இழைத்து,O,verb meaning scratching
கல்லாச்,O,adjective meaning untutored
சிறாஅர்,PERSON,children
நெல்லி,FRUIT,gooseberries
வட்டு,OBJECT,dice
ஆடும்,O,verb meaning play
வில்,WEAPON,bows
ஏர்,OBJECT,plow
உழவர்,PROFESSION,bandits who use bows
வெம்முனை,DESERT,harsh
சீறூர்,STRUCTURE,small villages
சுரன்,DESERT,wasteland
முதல்,O,adverb meaning in
வந்த,O,verb meaning came
உரன்,O,strength
மாய்,O,verb meaning ruining
மாலை,NATURE,evening
உள்ளினென்,O,verb meaning I thought
அல்லெனோ,O,verb meaning did I not
யானே,O,pronoun meaning me
உள்ளிய,O,verb meaning intended
வினை,O,deeds
முடித்தன்ன,O,like done
இனியோள்,PERSON,sweet young woman
மனை,STRUCTURE,house
மாண்,O,adjective meaning splendid
சுடரொடு,OBJECT,with lamps
படர்,O,noun meaning sorrow
பொழுது,NATURE,time
எனவே,O,conjunction meaning that
**Poem 4**,,
கானல்,FOREST,seashore grove
அம்,O,suffix meaning beautiful
சிறுகுடி,STRUCTURE,small village
கடல்,WATERBODY,sea
மேம்,O,verb meaning desiring
பரதவர்,PROFESSION,fishermen
நீல்,O,adjective meaning blue
நிறப்,COLOR,colored
புன்னைக்,PLANT,punnai trees
கொழு,O,adjective meaning thick
நிழல்,NATURE,shade
அசைஇ,O,verb meaning resting
தண்,O,adjective meaning cool
பெரும்,O,adjective meaning large
பரப்பின்,WATERBODY,in the ocean
ஒண்,O,adjective meaning perfect
பதம்,TIME,time
நோக்கி,O,verb meaning looking for
அம்,O,adjective meaning beautiful
கண்,O,mesh
அரில்,O,adjective meaning tightly knotted
வலை,OBJECT,net
உணக்கும்,O,verb meaning they dry
துறைவனொடு,PERSON,with the lord of the shore
அலரே,O,gossip
அன்னை,PERSON,mother
அறியின்,O,verb meaning if knows
இவண்,O,adverb meaning here
உறை,O,verb meaning living
வாழ்க்கை,O,life
அரிய,O,adjective meaning difficult
ஆகும்,O,verb meaning will become
நமக்கு,O,pronoun meaning for us
என,O,conjunction meaning that
கூறின்,O,verb meaning if we say
கொண்டும்,O,verb meaning taking
செல்வர்,O,verb meaning will he take
கொல்,O,particle implying doubt
தோழி,PERSON,my friend
உமணர்,PROFESSION,salt merchants
வெண்கல்,FOOD,white salt
உப்பின்,FOOD,salt
கொள்ளை,WEALTH,price
சாற்றி,O,verb meaning call out
கண,ANIMAL,cattle
நிரை,ANIMAL,herd
கிளர்க்கும்,O,verb meaning are roused
நெடு,O,adjective meaning long
நெறி,PATH,path
சகடம்,VEHICLE,wagons
மணல்,LANDFORM,sand
மடுத்து,O,verb meaning sinking
உரறும்,O,verb meaning make sounds
ஓசை,NATURE,sounds
கழனி,FIELD,field
கருங்கால்,BIRD,black-legged
வெண்குருகு,BIRD,white heron
வெரூஉம்,O,verb meaning fear
இருங்கழி,WATERBODY,dark backwaters
சேர்ப்பின்,PLACE,on the shores
தம்,O,pronoun meaning his
உறைவின்,STRUCTURE,residence
இன்,O,adjective meaning sweet
ஊர்க்கே,STRUCTURE,to the town
**Poem 5**,,
நிலம்,NATURE,land
நீர்,WATERBODY,water
ஆர,O,verb meaning filled
குன்றம்,MOUNTAIN,mountains
குழைப்ப,O,verb meaning flourish
அகல்வாய்,WATERBODY,wide-mouthed
பைஞ்சுனை,WATERBODY,fresh springs
பயிர்,PLANT,plants
கால்,PLANT,stems
யாப்ப,O,verb meaning entangled
குறவர்,PERSON,mountain dwellers
கொன்ற,O,verb meaning chopped
குறைக்,O,adjective meaning reduced
கொடி,PLANT,vines
நறைப்,PLANT,fragrant vines
பவர்,PLANT,vines
நறுங்காழ்,PLANT,fragrant hard-core sandalwood
ஆரம்,OBJECT,sandalwood
சுற்றுவன,O,verb meaning surround
அகைப்ப,O,verb meaning flourishing
பெரும்,NATURE,heavy
பெயல்,NATURE,rain
பொழிந்த,O,verb meaning poured
தொழில,O,deeds
எழிலி,NATURE,clouds
தெற்கு,REGION,south
ஏர்பு,O,verb meaning rising up
இரங்கும்,O,verb meaning roar
அற்சிரக்,NATURE,early dew season
காலையும்,NATURE,time
அரிதே,O,adjective meaning difficult
காதலர்ப்,PERSON,lover
பிரிதல்,O,noun meaning leaving
இன்று,NATURE,today
செல்,O,verb meaning leave
இகுளையர்த்,PERSON,friends
தரூஉம்,O,verb meaning bring back
வாடையொடு,NATURE,with northern winds
மயங்கு,O,adjective meaning sad
இதழ்,O,eyelids
மழைக்,O,adjective meaning moist
கண்,O,eyes
பயந்த,O,verb meaning sent
தூதே,O,noun meaning message
**Poem 6**,,
நீர்,WATERBODY,water
வளர்,O,verb meaning growing
ஆம்பல்,FLOWER,white waterlily flowers
தூம்புடை,PLANT,with hollow
திரள்,O,adjective meaning thick
கால்,PLANT,stems
நார்,PLANT,fibers
உரித்தன்ன,O,like removed
மதனின்,O,with beauty
மாமை,O,dark color
குவளை,FLOWER,blue waterlilies
அன்ன,O,like
ஏந்து,O,adjective meaning lifted
எழில்,O,adjective meaning beautiful
மழைக்,O,adjective meaning moist
கண்,O,eyes
திதலை,O,pallor spots
அல்குல்,O,loins
பெருந்தோள்,O,thick arms
குறுமகட்கு,PERSON,to the young woman
எய்த,O,verb meaning going
சென்று,O,verb meaning going
செப்புநர்ப்,PERSON,messenger
பெறினே,O,verb meaning if I can get
இவர்,O,pronoun meaning he
யார்,O,pronoun meaning who
என்குவள்,O,verb meaning will she ask
அல்லள்,O,verb meaning she will not
முனாஅது,O,adverb meaning without hatred
அத்த,DESERT,wasteland
குமிழின்,PLANT,kumilam tree's
கொடு,O,adjective meaning curved
மூக்கு,FRUIT,stems
விளை,O,adjective meaning ripe
கனி,FRUIT,fruits
எறி,O,adjective meaning leaping
மட,O,adjective meaning innocent or delicate
மாற்கு,ANIMAL,for the deer
வல்சி,FOOD,food
ஆகும்,O,verb meaning will become
வல்,WEAPON,strong
வில்,WEAPON,bow
ஓரி,WARRIOR,king Ori
கானம்,FOREST,forest
நாறி,O,verb meaning having fragrance
இரும்,O,adjective meaning black
பல்,O,adjective meaning thick
ஒலிவரும்,O,verb meaning flowing
கூந்தல்,O,hair
பெரும்,O,adverb meaning greatly
பேதுறுவள்,O,verb meaning she will be bewildered
யாம்,O,pronoun meaning I
வந்தனம்,O,verb meaning have come
எனவே,O,conjunction meaning if she knows
**Poem 7**,,
சூருடை,DEITY,with gods
நனந்தலை,PLACE,vast land
சுனை,WATERBODY,spring
நீர்,WATERBODY,water
மல்க,O,verb meaning brimming
பெருவரை,MOUNTAIN,tall mountains
அடுக்கத்து,MOUNTAIN,ranges
அருவி,WATERBODY,waterfalls
ஆர்ப்ப,O,verb meaning roar
கல்,ROCK,rocks
அலைத்து,O,verb meaning rolling
இழிதரும்,O,verb meaning flow down
கடுவரல்,O,adjective meaning rapid
கான்,FOREST,forest
யாற்று,WATERBODY,stream
கழை,PLANT,bamboo poles
மாய்,O,verb meaning disappear
நீத்தம்,WATERBODY,flood water
காடு,FOREST,forest
அலை,NATURE,uproar
ஆர்ப்ப,O,verb meaning causing
தழங்கு,O,adjective meaning loud
குரல்,NATURE,sounds
ஏறொடு,NATURE,with thunder
முழங்கி,O,verb meaning roaring
வானம்,NATURE,sky
இன்னே,O,adverb meaning now
பெய்ய,O,verb meaning pours
மின்னுமால்,NATURE,there is lightning
தோழி,PERSON,my friend
வெண்ணெல்,FOOD,white paddy
அருந்திய,O,verb meaning ate
வரி,O,adjective meaning with lines
நுதல்,ANIMAL,forehead
யானை,ANIMAL,elephant
தண்,O,adjective meaning cool
நறும்,O,adjective meaning fragrant
சிலம்பில்,MOUNTAIN,mountain slopes
துஞ்சும்,O,verb meaning sleeps
சிறியிலை,PLANT,small-leaved
சந்தின,PLANT,sandalwood trees
வாடு,O,verb meaning dry
பெருங்காட்டே,FOREST,huge forest
**Poem 8**,,
அல்கு,O,adjective meaning great
படர்,O,noun meaning sorrow
உழந்த,O,verb meaning attained
அரி,O,adjective meaning with red lines
மதர்,O,adjective meaning proud or luscious
மழைக்கண்,O,moist eyes
பல்பூம்,FLOWER,many flowers
பகைத்,DIFFERENT,different kinds of
தழை,CLOTHING,leaf garment
நுடங்கும்,O,verb meaning swaying
அல்குல்,O,loins
திரு,O,adjective meaning beautiful
மணி,OBJECT,sapphire
புரையும்,O,verb meaning like
மேனி,O,body
மடவோள்,PERSON,delicate young woman
யார்,O,pronoun meaning whose
மகள்,PERSON,daughter
கொல்,O,particle implying doubt
இவள்,O,pronoun meaning her
தந்தை,PERSON,father
வாழியர்,O,expletive particle
துயரம்,O,noun meaning suffering
உறீஇயினள்,O,verb meaning she caused
எம்மே,O,pronoun meaning me
அகல்வயல்,FIELD,wide fields
அரிவனர்,PROFESSION,reapers
அரிந்தும்,O,verb meaning reap
தருவனர்ப்,PERSON,those who give
பெற்றும்,O,verb meaning receive
தண்,O,adjective meaning cool
சேறு,LANDFORM,mud
தாஅய்,O,verb meaning smeared
மதனுடை,O,adjective meaning pretty or elegant
நோன்,O,adjective meaning strong
தாள்,PLANT,stems
கண்,O,eyes
போல்,O,like
நெய்தல்,FLOWER,waterlilies
போர்வில்,PLACE,on hay stacks
பூக்கும்,O,verb meaning bloom
திண்,O,adjective meaning sturdy
தேர்ப்,VEHICLE,chariots
பொறையன்,KING,king Poraiyan
தொண்டி,STRUCTURE,Thondi city
தன்,O,pronoun meaning her
திறம்,O,noun meaning worth
பெறுக,O,verb meaning may she receive
இவள்,O,pronoun meaning her
ஈன்ற,O,verb meaning gave birth to
தாயே,PERSON,mother
**Poem 9**,,
அழிவிலர்,O,adjective meaning faultless
முயலும்,O,verb meaning do
ஆர்வ,O,adjective meaning anxious
மாக்கள்,PERSON,people
வழிபடு,O,verb meaning worshipped
தெய்வம்,DEITY,goddess
கண்,O,eyes
கண்டாஅங்கு,O,like saw
அலமரல்,O,noun meaning distress
வருத்தம்,O,noun meaning sorrow
தீர,O,verb meaning to end
யாழ,O,expletive particle
நின்,O,pronoun meaning your
நல,O,adjective meaning fine
மென்,O,adjective meaning delicate
பணைத்தோள்,O,bamboo-like arms
எய்தினம்,O,verb meaning if I attain
ஆகலின்,O,conjunction meaning so
பொரிப்,FOOD,puffed rice
பூம்,FLOWER,flowers
புன்கின்,PLANT,beech trees
எழில்,O,adjective meaning glowing
தகை,O,adjective meaning beautiful
ஒண்,O,adjective meaning bright
முறி,PLANT,tender sprouts
சுணங்கு,O,pallor spots
அணி,O,adjective meaning with
வன,O,adjective meaning beautiful
முலை,O,breasts
அணங்கு,DEITY,god
கொள,O,verb meaning to cause distress
திமிரி,O,verb meaning smeared
நிழல்,NATURE,shade
காண்தோறும்,O,whenever we see
நெடிய,O,adverb meaning for long
வைகி,O,verb meaning stay
மணல்,LANDFORM,sand
காண்தோறும்,O,whenever we see
வண்டல்,STRUCTURE,little sand houses
தைஇ,O,verb meaning make
வருந்தாது,O,verb meaning do not feel sad
ஏகுமதி,O,verb meaning you go with me
வால்,O,adjective meaning white
எயிற்றோயே,PERSON,oh one with white teeth
மா,FRUIT,mango
நனை,FLOWER,buds
கொழுதி,O,verb meaning prick
மகிழ்,O,adjective meaning happy
குயில்,BIRD,cuckoos
ஆலும்,O,verb meaning sing
நறும்,O,adjective meaning fragrant
தண்,O,adjective meaning cool
பொழில,FOREST,groves
கானம்,FOREST,forest
குறும்,O,adjective meaning few
பல்,O,adjective meaning many
ஊர,STRUCTURE,towns
யாம்,O,pronoun meaning we
செல்லும்,O,verb meaning will take
ஆறே,PATH,on the path
**Poem 10**,,
அண்ணாந்து,O,adverb meaning lifted
ஏந்திய,O,verb meaning lifted
வன,O,adjective meaning beautiful
முலை,O,breasts
தளரினும்,O,verb meaning even if sag
பொன்,WEALTH,gold
நேர்,O,adjective meaning like
மேனி,O,body
மணியின்,OBJECT,like sapphire
தாழ்ந்த,O,verb meaning hanging
நல்,O,adjective meaning fine
நெடுங்கூந்தல்,O,long hair
நரையொடு,O,with white
முடிப்பினும்,O,verb meaning even if braids become white
நீத்தல்,O,verb meaning abandoning
ஓம்புமதி,O,verb meaning please do not
பூக்கேழ்,FLOWER,laden with flowers
ஊர,PERSON,oh lord of the town
இன்,O,adjective meaning sweet
கடுங்கள்ளின்,FOOD,strong liquor
இழை,CLOTHING,jewels
அணி,O,adjective meaning decorated
நெடுந்தேர்க்,VEHICLE,tall chariots
கொற்றச்,WARRIOR,victorious
சோழர்,KING,Chozhas
கொங்கர்ப்,TRIBE,Kongu country people
பணீஇயர்,O,verb meaning to control
வெண்கோட்டு,ANIMAL,white tusked
யானைப்,ANIMAL,elephants
போஒர்,STRUCTURE,Pō ōr town
கிழவோன்,KING,lord
பழையன்,KING,Palaiyan
வேல்,WEAPON,spear
வாய்த்தன்ன,O,like unfailing
நின்,O,pronoun meaning your
பிழையா,O,adjective meaning faultless
நல்,O,adjective meaning good
மொழி,O,words
தேறிய,O,verb meaning understands
இவட்கே,O,pronoun meaning her
**Poem 11**,,
பெய்யாது,O,verb meaning not worn
வைகிய,O,verb meaning lying around
கோதை,OBJECT,garland
போல,O,like
மெய்,O,body
சாயினை,O,verb meaning you are distressed
அவர்,PERSON,he
செய்,O,verb meaning indicated
குறி,O,tryst
பிழைப்ப,O,verb meaning missed
உள்ளி,O,verb meaning thinking
நொதுமலர்,PERSON,strangers
நேர்பு,O,adjective meaning risen
உரை,O,gossip
தெள்ளிதின்,O,adverb meaning clearly
வாரார்,O,verb meaning he will not come
என்னும்,O,conjunction meaning that
புலவி,O,noun meaning sulking
உட்கொளல்,O,verb meaning do not have
ஒழிக,O,verb meaning destroy
மாள,O,expletive particle
நின்,O,pronoun meaning your
நெஞ்சத்தானே,O,in your heart
புணரி,WATERBODY,waves
பொருத,O,verb meaning attacked
பூ,FLOWER,flowers
மணல்,LANDFORM,sand
அடைகரை,WATERBODY,shore
ஆழி,WATERBODY,seashore
மருங்கின்,PLACE,near
அலவன்,ANIMAL,crabs
ஓம்பி,O,verb meaning protecting
வலவன்,PROFESSION,charioteer
வள்பு,OBJECT,bridle
ஆய்ந்து,O,verb meaning carefully
ஊர,O,verb meaning ride
நிலவு,NATURE,moonlight
விரிந்தன்றால்,O,verb meaning spread
கானலானே,FOREST,in the seashore grove
**Poem 12**,,
விளம்பழம்,FRUIT,wood apple
கமழும்,O,verb meaning fragrance spreads
கமஞ்சூல்,O,adjective meaning full
குழிசி,OBJECT,pots
பாசம்,OBJECT,ropes
தின்ற,O,verb meaning scarred or reduced
தேய்,O,adjective meaning reduced
கால்,PLANT,bases
மத்தம்,OBJECT,churning rods
நெய்,FOOD,butter
தெரி,O,verb meaning churning
இயக்கம்,O,noun meaning process
வெளில்,STRUCTURE,common place
முதல்,STRUCTURE,bases
முழங்கும்,O,verb meaning sounds
வைகு,O,verb meaning staying
புலர்,NATURE,dawn
விடியல்,NATURE,early morning
மெய்,O,body
கரந்து,O,verb meaning hiding
தன்,O,pronoun meaning her
கால்,O,feet
அரி,O,adjective meaning beautiful
அமை,O,adjective meaning made
சிலம்பு,OBJECT,anklets
கழீஇ,O,verb meaning removes
பல்,O,adjective meaning many
மாண்,O,adjective meaning splendid
வரி,O,adjective meaning with lines
புனை,O,verb meaning decorated
பந்தொடு,OBJECT,with the ball
வைஇய,O,verb meaning places
செல்வோள்,PERSON,she who goes
இவை,O,pronoun meaning these
காண்தோறும்,O,whenever they see
நோவர்,O,verb meaning they will be pained
மாதோ,O,expletive particles
அளியரோ,O,adjective meaning they are pitiable
அளியர்,O,adjective meaning they are pitiable
என்,O,pronoun meaning my
ஆயத்தோர்,PERSON,friends
என,O,conjunction meaning thus
நும்மொடு,O,pronoun meaning with you
வரவு,O,noun meaning going
தான்,O,pronoun meaning she
அயரவும்,O,verb meaning despite agreeing
தன்,O,pronoun meaning her
வரைத்து,O,limit
அன்றியும்,O,beyond
கலுழ்ந்தன,O,verb meaning there are tears
கண்ணே,O,eyes
**Poem 13**,,
எழாஅ,O,verb meaning you did not rise
ஆகலின்,O,since
எழில்,O,noun meaning beauty
நலம்,O,noun meaning virtue
தொலைய,O,verb meaning losing
அழாஅதீமோ,O,verb meaning do not cry
நொதுமலர்,PERSON,strangers
தலையே,PLACE,in the place
ஏனல்,FOOD,millet
காவலர்,PROFESSION,guards
மா,ANIMAL,animals
வீழ்த்து,O,verb meaning killed
பறித்த,O,verb meaning pulled out
பகழி,WEAPON,arrows
அன்ன,O,like
சேயரி,O,red lines
மழைக்,O,adjective meaning moist
கண்,O,eyes
நல்ல,O,adjective meaning beautiful
பெருந்தோளோயே,PERSON,oh young woman with thick arms
கொல்லன்,PROFESSION,blacksmith
எறி,O,verb meaning beaten
பொன்,WEALTH,gold
பிதிரின்,OBJECT,like sparks
சிறுபல,O,adjective meaning many small
காய,SEED,with seeds
வேங்கை,FLOWER,vengai trees
வீ,FLOWER,flowers
உகும்,O,verb meaning drop
ஓங்கு,O,adjective meaning tall
மலை,MOUNTAIN,mountains
கட்சி,STRUCTURE,nests
மயில்,BIRD,peacocks
அறிபு,O,verb meaning thinking they know
அறியா,O,verb meaning they do not know
மன்,O,expletive particle
ஓ,O,expletive particle
பயில்,O,adjective meaning dense
குரல்,FOOD,millet spears
கவரும்,O,verb meaning steal
பைம்புறக்,BIRD,with green backs
கிளியே,BIRD,parrots
**Poem 14**,,
தொல்கவின்,O,previous beauty
தொலைய,O,verb meaning to be lost
தோள்,O,arms
நலம்,O,beauty
சாஅய,O,verb meaning to be lost
நல்கார்,PERSON,one who does not give graces
நீத்தனர்,O,verb meaning he left
ஆயினும்,O,conjunction meaning even if
நல்குவர்,PERSON,he will give
நட்டனர்,PERSON,he is kind
வாழி,O,expletive particle
தோழி,PERSON,oh friend
குட்டுவன்,KING,Chera king
அகப்பா,STRUCTURE,fort
அழிய,O,verb meaning to be destroyed
நூறி,O,verb meaning ruined
செம்பியன்,KING,Chozha king
பகல்,NATURE,day
தீ,WEAPON,fire
வேட்ட,O,verb meaning set
ஞாட்பினும்,WARFARE,in battle
மிக,O,adverb meaning very
பெரிது,O,adjective meaning great
அலர்,O,gossip
எழ,O,verb meaning to rise
சென்றனர்,O,verb meaning he went
ஆயினும்,O,conjunction meaning yet
மலர்,FLOWER,flowers
கவிழ்ந்து,O,verb meaning bent
மா,O,adjective meaning big
மடல்,PLANT,petals
அவிழ்ந்த,FLOWER,opened
காந்தள்,FLOWER,glory lilies
அம்,O,adjective meaning lovely
சாரல்,MOUNTAIN,mountain slopes
இனம்,ANIMAL,herd
சால்,O,adjective meaning with
வய,O,adjective meaning strong
களிறு,ANIMAL,male elephant
பாந்தள்,ANIMAL,python
பட்டென,O,since it was caught
துஞ்சா,O,adjective meaning unable to sleep
துயரத்து,O,with distress
அஞ்சு,O,adjective meaning afraid
பிடி,ANIMAL,female elephant
பூசல்,NATURE,uproars
நெடு,O,adjective meaning tall
வரை,MOUNTAIN,mountain
விடர்,MOUNTAIN,cracks
அகத்து,PLACE,in
இயம்பும்,O,verb meaning echo
கடுமான்,ANIMAL,swift horses
புல்லிய,KING,Pulli's
காடு,FOREST,forest
இறந்தோரே,PERSON,the one who went
**Poem 15**,,
முழங்கு,WATERBODY,roaring
திரை,WATERBODY,waves
கொழீஇய,O,verb meaning brought and heaped
மூரி,LANDFORM,tall dunes
எக்கர்,LANDFORM,dunes
நுணங்கு,O,adjective meaning fine
துகில்,CLOTHING,cloth
நுடக்கம்,O,movement
போல,O,like
கணம்,O,adverb meaning to pile up
கொள,O,verb meaning to
ஊதை,NATURE,northerly winds
தூற்றும்,O,verb meaning scatter
உரவு,WATERBODY,powerful
நீர்ச்,WATERBODY,shores
சேர்ப்ப,PERSON,oh lord
பூவின்,FLOWER,flower's
அன்ன,O,like
நலம்,O,virtue
புதிது,O,adverb meaning first
உண்டு,O,verb meaning took
நீ,O,pronoun meaning you
புணர்ந்த,O,verb meaning united
அனையேம்,O,like that
அன்மையின்,O,since she is not
யாமே,O,pronoun meaning we
நேர்புடை,O,adjective meaning agreeable
நெஞ்சம்,O,heart
தாங்கத்,O,verb meaning to bear
தாங்கி,O,verb meaning bearing
மாசு,O,adjective meaning faultless
இல்,O,adjective meaning without
கற்பின்,O,with virtue
மடவோள்,PERSON,naive young woman
குழவி,CHILD,baby
பேஎய்,MYTH,ghoul
வாங்க,O,verb meaning snatched
கைவிட்டாங்கு,O,like how she abandoned
சேணும்,O,adverb meaning for a long time
எம்மொடு,O,pronoun meaning with us
வந்த,O,verb meaning came
நாணும்,O,modesty
விட்டேம்,O,verb meaning we let go
அலர்க,O,verb meaning let it spread
இவ்,O,pronoun meaning this
ஊரே,STRUCTURE,town
**Poem 16**,,
புணரின்,O,verb meaning if I stay
புணராது,O,verb meaning will not attain
பொருளே,WEALTH,wealth
பொருள்வயின்,O,for wealth
பிரியின்,O,verb meaning if I separate
புணராது,O,verb meaning I cannot unite
புணர்வே,O,union
ஆயிடை,DESERT,wasteland
செல்லினும்,O,verb meaning whether you go
செல்லாய்,O,verb meaning or do not go
ஆயினும்,O,conjunction meaning whether
நல்லதற்கு,O,for the right thing
உரியை,O,verb meaning it is good
வாழி,O,expletive particle
என்,O,pronoun meaning my
நெஞ்சே,O,heart
பொருளே,WEALTH,wealth
வாடாப்,FLOWER,fresh
பூவின்,FLOWER,flowers
பொய்கை,WATERBODY,pond
나ாப்பண்,PLACE,in the middle
ஓடு,FISH,fish
மீன்,FISH,fish
வழியின்,PATH,like the path
கெடுவ,O,verb meaning will be ruined
யானே,O,pronoun meaning me
விழுநீர்,WATERBODY,huge oceans
வியல்,STRUCTURE,wide
அகம்,STRUCTURE,earth
தூணி,OBJECT,measure
ஆக,O,verb meaning as
எழு,NUMERAL,seven
மாண்,O,adverb meaning times
அளக்கும்,O,verb meaning measuring
விழுநிதி,WEALTH,great wealth
பெறினும்,O,verb meaning even if I get
கனங்குழைக்கு,PERSON,to the young woman with heavy earrings
அமர்த்த,O,verb meaning differing
சேயரி,O,red lines
மழைக்,O,adjective meaning moist
கண்,O,eyes
அமர்ந்து,O,verb meaning with
இனிது,O,adjective meaning sweet
நோக்கமொடு,O,with looks
செகுத்தன,O,verb meaning they ruined
எனைய,O,adjective meaning these
ஆகுக,O,verb meaning I do not care about it
வாழிய,O,expletive particle
பொருளே,WEALTH,wealth
**Poem 17**,,
நாள்,NATURE,early morning
மழை,NATURE,rains
தலைஇய,O,verb meaning fell
நல்,O,adjective meaning fine
நெடுங்குன்றத்து,MOUNTAIN,lofty mountains
மால்,WATERBODY,dark
கடல்,WATERBODY,ocean
திரையின்,WATERBODY,like waves
இழிதரும்,WATERBODY,cascade down
அருவி,WATERBODY,waterfalls
அகல்,FOREST,huge
இருங்கானத்து,FOREST,big forest
அல்கு,PLACE,nearby
அணி,O,adjective meaning beautiful
நோக்கி,O,verb meaning looked
தாங்கவும்,O,verb meaning when I tried to bear
தகைவரை,O,verb meaning to block
நில்லா,O,verb meaning unable
நீர்,WATERBODY,tears
சுழல்பு,O,verb meaning increased
ஏந்து,O,adjective meaning lifted
எழில்,O,adjective meaning beautiful
மழைக்,O,adjective meaning moist
கண்,O,eyes
கலுழ்தலின்,O,since they shed tears
அன்னை,PERSON,mother
எவன்,O,pronoun meaning what
செய்தனையோ,O,verb meaning did you do
நின்,O,pronoun meaning your
இலங்கு,O,adjective meaning bright
எயிறு,ANIMAL,teeth
உண்கு,O,verb meaning I will kiss
என,O,conjunction meaning that
மெல்லிய,O,adjective meaning tender
இனிய,O,adjective meaning sweet
கூறலின்,O,since she uttered
வல்,O,adverb meaning very
விரைந்து,O,adverb meaning fast
உயிரினும்,O,than life
சிறந்த,O,adjective meaning better
நாணும்,O,shyness
நனி,O,adverb meaning a lot
மறந்து,O,verb meaning forgot
உரைத்தல்,O,verb meaning to say
உய்ந்தனனே,O,verb meaning I started to say then stopped
தோழி,PERSON,my friend
சாரல்,MOUNTAIN,mountain slopes
காந்தள்,FLOWER,glory lilies
ஊதிய,INSECT,swarmed by
மணி,OBJECT,sapphire
நிற,COLOR,colored
தும்பி,INSECT,bees
தீம்,O,adjective meaning sweet
தொடை,O,noun meaning stringed instrument
நரம்பின்,OBJECT,like lute strings
இமிரும்,O,verb meaning hum
வான்,NATURE,sky
தோய்,O,verb meaning high
வெற்பன்,PERSON,lord of the mountains
மார்பு,O,chest
