Word,Entity,Explanation
மணி,OBJECT,sapphire/gem
அவை,O,pronoun meaning those
ஐந்தும்,O,numeral meaning all five
உறழும்,O,verb meaning matching/resembling
அணி,O,adjective meaning beautiful
கிளர்,O,adjective meaning shining
மேனியை,PERSON,O lord with body
வலம்புரி,OBJECT,right-whorled conch
வாய்மொழி,O,noun meaning truthful speech/Vedas
அதிர்பு,O,verb meaning roaring/sounding
வான்,NATURE,sky/cloud
முழக்குச்,NATURE,thunder
செல்,O,verb meaning going/moving
அவை,O,pronoun meaning those
நான்கும்,O,numeral meaning all four
உறழும்,O,verb meaning matching/resembling
அருள்,O,noun meaning grace/compassion
செறல்,O,noun meaning anger/rage
வயின்,O,noun meaning place/occasion
மொழி,O,noun meaning word/speech
முடிந்ததும்,O,verbal noun meaning past/that which ended
முடிவதும்,O,verbal noun meaning future/that which will end
முகிழ்ப்பதும்,O,verbal noun meaning present/that which is happening
அவை,O,pronoun meaning those
மூன்றும்,O,numeral meaning all three
கடந்து,O,verb meaning crossing/beyond
அவை,O,pronoun meaning those
அமைந்த,O,past participle meaning having/possessing
கழலின்,OBJECT,with anklets
நிழலவை,PERSON,O lord who provides shade/protection
இருமை,O,noun meaning two states (birth and death)
வினையும்,O,noun meaning deeds/actions
இல,O,negative verb meaning there are not
ஏத்துமவை,PERSON,those who praise
ஒருமை,O,adjective meaning single/one
வினை,O,noun meaning deed/action (protection)
மேவும்,O,verb meaning desiring/having
உள்ளத்தினை,PERSON,O lord with mind
அடை,O,noun meaning leaf
இறந்து,O,verb meaning beyond/past
அவிழ்ந்த,O,past participle meaning open/blossomed
வள்,O,adjective meaning thick/dense
இதழ்த்,FLOWER,petal (of lotus)
தாமரை,FLOWER,lotus
அடியும்,PERSON,feet
கையும்,PERSON,hands
கண்ணும்,PERSON,eyes
வாயும்,PERSON,mouth
தொடியும்,OBJECT,bracelets
உந்தியும்,PERSON,navel
தோள்,PERSON,arms
அணி,O,adjective meaning beautiful
வலயமும்,OBJECT,arm ornaments
தாளும்,PERSON,feet
தோளும்,PERSON,shoulders/arms
எருத்தொடு,PERSON,with neck
பெரியை,PERSON,you are large/great
மார்பும்,PERSON,chest
அல்குலும்,PERSON,waist/loins
மனத்தொடு,O,noun meaning with mind
பரியை,PERSON,you are broad-minded
கேள்வியும்,O,noun meaning learning/Vedas
அறிவும்,O,noun meaning intelligence
அறத்தொடு,O,noun meaning with righteousness
நுண்ணியை,PERSON,you are subtle/fine
வேள்வியும்,O,noun meaning rituals/sacrifices
மறனும்,O,noun meaning bravery/valor
விருப்பொடு,O,noun meaning with desire/love
வெய்யை,PERSON,you are harsh/fierce
அறாஅ,O,negative adjective meaning unceasing/not removed
மைந்தின்,O,noun meaning with strength
செறாஅ,O,negative adjective meaning without anger
ச்செங்கண்,PERSON,with red eyes
செரு,NATURE,battle/war
மிகு,O,adjective meaning great
திகிரிச்,WEAPON,with discus
செல்வ,PERSON,O lord
வெல்போர்,WARRIOR,victorious battle
எரி,NATURE,fire/flame
நகை,O,noun meaning smile/brightness (vetchi flower)
இடை,O,postposition meaning in between
இடுபு,O,verb meaning placing/weaving
இழைத்த,O,past participle meaning woven/made
நறுந்தார்ப்,OBJECT,fragrant garland
புரி,O,adjective meaning twisted/tied
மலர்த்,FLOWER,flower
துழாஅய்,PLANT,holy basil
மேவல்,O,adjective meaning fitting/desirable
மார்பினோய்,PERSON,O lord with chest
அன்னை,PERSON,O lord of that nature
என,O,quotative particle meaning thus
நினைஇ,O,verb meaning thinking (with expletive)
நின்,O,pronoun meaning your
அடி,PERSON,foot
தொழுதனெம்,O,verb meaning we worshipped
பல்,O,adjective meaning many
மாண்,O,adjective meaning great/excellent
அடுக்க,O,adverb meaning repeatedly/again and again
இறைஞ்சினெம்,O,verb meaning we bowed/prayed
வாழ்த்தினெம்,O,verb meaning we praised
முன்னும்,O,adverb meaning before/in the past
முன்னும்,O,adverb meaning before/in the past
யாம்,PERSON,we
செய்,O,past participle meaning done
தவப்,O,noun meaning penance
பயத்தால்,O,noun meaning because of benefit
இன்னும்,O,adverb meaning again and again
இன்னும்,O,adverb meaning again and again
எம்,O,pronoun meaning our
காமம்,O,noun meaning desire/prayer
இதுவே,O,pronoun with expletive meaning this is
poem14,,
கார்,NATURE,rain cloud
மலி,O,adjective meaning abundant/much
கதழ்,O,adjective meaning fast/rapid
பெயல்,NATURE,rain
தலைஇ,O,verb meaning causing/doing (with expletive)
ஏற்ற,O,past participle meaning accepting/having
நீர்,WATERBODY,water
மலி,O,adjective meaning full/abundant
நிறை,O,adjective meaning full
சுனை,WATERBODY,spring/pond
பூ,FLOWER,flower
மலர்ந்தனவே,O,verb with expletive meaning bloomed
தண்,O,adjective meaning cool
நறுங்,O,adjective meaning fragrant
கடம்பின்,PLANT,kadampam tree/flower
கமழ்,O,adjective meaning fragrant
தாது,FOOD,pollen
ஊதும்,O,verb meaning buzzing/sucking
வண்ண,O,adjective meaning colorful
வண்டு,INSECT,bee
இமிர்,O,verb meaning humming
குரல்,O,noun meaning sound
பண்ணை,O,noun meaning melody/tune
போன்றனவே,O,verb with expletive meaning are like
அடியுறை,PERSON,servants/devotees
மகளிர்,PERSON,women
ஆடும்,O,verb meaning dancing
தோளே,PERSON,arms/shoulders
நெடுவரை,MOUNTAIN,tall mountain
அடுக்கத்து,O,noun meaning ranges/slopes
வேய்,PLANT,bamboo
போன்றனவே,O,verb with expletive meaning are like
வாகை,PLANT,vakai tree (Sirissa tree)
ஒண்,O,adjective meaning bright
பூப்,FLOWER,flower
புரையும்,O,verb meaning like/resembling
முச்சிய,OBJECT,with crest
தோகை,BIRD,peacock
ஆர்,O,adjective meaning lovely/sweet
குரல்,O,noun meaning call/sound
மணந்து,O,verb meaning uniting
தணந்தோரை,PERSON,those who left after union
நீடன்மின்,O,negative imperative meaning do not delay
வாரும்,O,verb meaning come
என்பவர்,PERSON,those who say
சொல்,O,noun meaning word/speech
போன்றனவே,O,verb with expletive meaning are like
நாள்,O,adjective meaning fresh/daily
மலர்க்,FLOWER,flower
கொன்றையும்,FLOWER,laburnum flower
பொலந்,O,adjective meaning golden
தார்,OBJECT,garland
போன்றன,O,verb meaning are like
வெல்,O,adjective meaning pretty/victorious
இணர்,FLOWER,cluster
வேங்கை,PLANT,vengai tree (kino tree)
வியல்,O,adjective meaning wide/broad
அறை,MOUNTAIN,boulder/rock
த்தாயின,O,verb meaning dropped/spread
அழுகை,O,verb meaning crying
மகளிர்க்கு,PERSON,to the girls/children
உழுவை,ANIMAL,tiger
செப்ப,O,verb meaning to tell/say
நீர்,WATERBODY,water
அயல்,O,adverb meaning near
கலித்த,O,past participle meaning flourishing/abundant
நெரி,O,adjective meaning crowded/dense
முகைக்,FLOWER,bud
காந்தள்,FLOWER,glory lily
வார்,O,adjective meaning long
குலை,FLOWER,cluster
அவிழ்ந்த,O,past participle meaning bloomed
வள்,O,adjective meaning thick/pointed
இதழ்,FLOWER,petal
நிரைதொறும்,O,postposition meaning in every row
விடு,O,adjective meaning spreading/thriving
கொடிப்,PLANT,vine
பிறந்த,O,past participle meaning born/appeared
மென்,O,adjective meaning delicate/soft
தகைத்,O,adjective meaning beautiful
தோன்றிப்,FLOWER,thondri flower (glory lily)
பவழத்து,OBJECT,coral
அன்ன,O,adjective meaning like/resembling
செம்பூத்,FLOWER,red flower
தாஅய்,O,verb meaning spread (with expletive)
கார்,NATURE,rainy season
மலிந்தன்று,O,verb meaning is abundant/full
நின்,O,pronoun meaning your
குன்று,MOUNTAIN,mountain
போர்,NATURE,battle/war
மலிந்து,O,verb meaning abundant/increasing
சூர்,MYTH,Sooran (demon)
மருங்கு,O,noun meaning side/family
அறுத்த,O,past participle meaning chopped/destroyed
சுடர்ப்,O,adjective meaning bright/shining
படையோயே,PERSON,O lord with spear/army
கறை,O,noun meaning blemish/fault
இல்,O,negative particle meaning without
கார்,NATURE,rain cloud
மழை,NATURE,rain/cloud
பொங்கி,O,verb meaning billowing/overflowing
அன்ன,O,adjective meaning like/resembling
நறையின்,O,noun meaning from fragrant things
நறும்,O,adjective meaning fragrant
புகை,O,noun meaning smoke
நனி,O,adverb meaning greatly/very
அமர்ந்தோயே,PERSON,O lord who desired
அறு,O,numeral meaning six
முகத்து,PERSON,with faces
ஆறு,O,numeral meaning six
இரு,O,numeral meaning two
தோளால்,PERSON,with arms/shoulders
வென்றி,O,noun meaning victory
நறுமலர்,FLOWER,fragrant flower
வள்ளிப்,PERSON,Valli (as flower)
பூ,FLOWER,flower
நயந்தோயே,PERSON,O lord who loved/desired
கெழீஇக்,O,verb meaning together/with (with expletive)
கேளிர்,PERSON,lovers/relatives
சுற்ற,O,verb meaning to surround/to be around
நின்னை,PERSON,you (accusative)
எழீஇப்,O,verb meaning raising/pleading (with expletive)
பாடும்,O,verb meaning singing
பாட்டு,O,noun meaning song
அமர்ந்தோயே,PERSON,O lord who desired/loved
பிறந்த,O,past participle meaning born
ஞான்றே,O,noun with expletive meaning on the day
நின்னை,PERSON,you (accusative)
உட்கிச்,O,verb meaning fearing
சிறந்தோர்,PERSON,great ones/gods
அஞ்சிய,O,past participle meaning feared
சீருடையோயே,PERSON,O lord with greatness/fame
இரு,O,adjective meaning two
பிறப்பு,O,noun meaning birth
இரு,O,adjective meaning two
பெயர்,O,noun meaning name
ஈர,O,adjective meaning compassionate/tender
நெஞ்சத்து,O,noun meaning with heart
ஒரு,O,adjective meaning one/unique
பெயர்,O,noun meaning name
அந்தணர்,PROFESSION,Brahmins
அறன்,O,noun meaning righteousness
அமர்ந்தோயே,PERSON,O lord who is seated
அன்னை,PERSON,O lord who is all that
ஆகலின்,O,conjunction meaning since being
அமர்ந்து,O,verb meaning being seated/being
யாம்,PERSON,we
நின்னை,PERSON,you (accusative)
துன்னி,O,adverb meaning repeatedly/again and again
துன்னி,O,adverb meaning repeatedly/again and again
வழிபடுவதன்,O,verbal noun meaning of worshipping
பயம்,O,noun meaning benefit
இன்னும்,O,adverb meaning again and again
இன்னும்,O,adverb meaning again and again
அவை,O,pronoun meaning they/those benefits
ஆகுக,O,verb meaning may they be
தொன்,O,adjective meaning ancient
முதிர்,O,adjective meaning mature/abundant
மரபின்,O,noun meaning with tradition
நின்,O,pronoun meaning your
புகழினும்,O,noun meaning than fame
பலவே,O,adjective with expletive meaning many/more
poem15,,
புல,O,noun meaning wisdom/intelligence
வரை,O,noun meaning limit/boundary
அறியாப்,O,negative adjective meaning not known/beyond
புகழொடு,O,noun meaning with fame
பொலிந்து,O,verb meaning shining
நில,PLACE,land/earth
வரை,O,noun meaning limit/boundary
த்தாங்கிய,O,past participle meaning bearing/supporting
நிலைமையின்,O,noun meaning with nature/state
பெயராப்,O,negative adjective meaning not moving/not changing
தொலையா,O,negative adjective meaning imperishable/not destroyed
நேமி,PLACE,Chakkaravalam mountain
முதல்,O,adjective meaning first
தொல்,O,adjective meaning ancient
இசை,O,noun meaning fame
அமையும்,O,verb meaning having/being
புலவர்,POET,poets
ஆய்பு,O,verb meaning analyzing
உரைத்த,O,past participle meaning said/spoke
புனை,O,adjective meaning lovely/beautiful
நெடுங்குன்றம்,MOUNTAIN,tall mountains
பல,O,adjective meaning many
எனின்,O,conditional verb meaning if saying
ஆங்கு,O,adverb meaning there
அவை,O,pronoun meaning they/those
பலவே,O,adjective with expletive meaning many
பலவினும்,O,pronoun meaning among many
நிலவரை,PLACE,earth/land
ஆற்றி,O,verb meaning reducing/hunger of the earth
நிறை,O,adjective meaning full/complete
பயன்,O,noun meaning benefit/good
ஒருங்கு,O,adverb meaning together
உடன்,O,adverb meaning together
நின்று,O,verb meaning standing/being
பெற,O,verb meaning to obtain
நிகழும்,O,verb meaning occurring/happening
குன்று,MOUNTAIN,mountain
அவை,O,pronoun meaning they/those
சிலவே,O,adjective with expletive meaning few
சிலவினும்,O,pronoun meaning among the few
சிறந்தன,O,verb meaning are best/excel
தெய்வம்,DEITY,gods
பெட்புறும்,O,verb meaning desiring
மலர்,FLOWER,flower
அகல்,O,adjective meaning wide/broad
மார்பின்,MOUNTAIN,with springs (of mountain)
மை,NATURE,cloud
படி,O,verb meaning resting
குடுமிய,MOUNTAIN,with peaks
குல,MOUNTAIN,mountain groups
வரை,MOUNTAIN,mountain
சிலவே,O,adjective with expletive meaning few
குல,MOUNTAIN,mountain groups
வரை,MOUNTAIN,mountain
சிலவினும்,O,pronoun meaning among the few mountain groups
சிறந்தது,O,verb meaning is the best
கல்,O,noun meaning stone/rock
அறை,MOUNTAIN,mountain/cave
கடலும்,WATERBODY,ocean
கானலும்,WATERBODY,seashore
போலவும்,O,comparative particle meaning like
புல்லிய,O,adjective meaning close/inseparable
சொல்லும்,O,noun meaning word
பொருளும்,O,noun meaning meaning
போலவும்,O,comparative particle meaning like
எல்லாம்,O,pronoun meaning everything/all
வேறு,O,adjective meaning different
வேறு,O,adjective meaning different
உருவின்,O,noun meaning with form/shape
ஒரு,O,adjective meaning one/same
தொழில்,O,noun meaning work/action
இருவர்த்,PERSON,two persons (Thirumāl and Balathēvan)
தாங்கும்,O,verb meaning having/containing
நீள்,O,adjective meaning tall/long
நிலை,O,noun meaning state/condition
ஓங்கு,O,adjective meaning lofty/tall
இருங்குன்றம்,MOUNTAIN,Mālirunkundram mountain
நாறு,O,adjective meaning fragrant
இணர்த்,FLOWER,cluster
துழாயோன்,PERSON,Thirumāl with basil garland
நல்கின்,O,conditional verb meaning if showering grace
அல்லதை,O,conjunction meaning or/otherwise
ஏறுதல்,O,verbal noun meaning going up/attaining
எளிதோ,O,interrogative verb meaning is it easy
வீறு,O,noun meaning greatness
பெறு,O,verb meaning obtaining
துறக்கம்,PLACE,upper world
அரிதின்,O,adverb meaning with difficulty
பெறு,O,verb meaning obtaining
துறக்கம்,PLACE,upper world
மாலிருங்குன்றம்,MOUNTAIN,Mālirunkundram
எளிதின்,O,adverb meaning easily
பெறல்,O,verbal noun meaning to obtain
உரிமை,O,noun meaning right
ஏத்துகம்,O,verb meaning we will praise
சிலம்ப,O,adverb meaning loudly
அரா,ANIMAL,snake (Āthisēdan)
அணர்,O,adjective meaning lifted
கயந்தலை,ANIMAL,tender heads
த்தம்முன்,PERSON,elder brother (Balathēvan)
மார்பின்,PERSON,on the chest
மரா,PLANT,kadampam tree
மலர்த்தாரின்,OBJECT,with flower garland
மாண்,O,adverb meaning beautifully
வர,O,verb meaning to appear
த்தோன்றி,O,verb meaning appearing
அலங்கும்,O,verb meaning moving/flowing
அருவி,WATERBALL,waterfall
ஆர்த்து,O,verb meaning roaring
இமிழ்பு,O,verb meaning sounding
இழிய,O,verb meaning flowing down
சிலம்பாறு,WATERBODY,Silampu river
அணிந்த,O,past participle meaning adorning/decorating
சீர்,O,noun meaning greatness/beauty
கெழு,O,adjective meaning having/possessing
திருவின்,O,adjective meaning sacred/beautiful
சோலையொடு,FOREST,with grove/forest
தொடர்,O,verb meaning following
மொழி,O,noun meaning word
மாலிருங்குன்றம்,MOUNTAIN,Mālirunkundram
தாம்,PERSON,they themselves
வீழ்,O,verb meaning desiring
காமம்,O,noun meaning love/desire
வித்துபு,O,verb meaning sowing/planting
விளைக்கும்,O,verb meaning causing to grow/granting
நாமத்து,O,noun meaning of the name
தன்மை,O,noun meaning nature
நன்கனம்,O,adverb meaning well
படி,O,verb meaning to spread
எழ,O,verb meaning to rise
யாமத்து,NATURE,nighttime
தன்மை,O,noun meaning nature
இவ்,O,pronoun meaning this
ஐ,O,adjective meaning surprising/wondrous
இருங்குன்றத்து,MOUNTAIN,in this huge mountain
மன்,O,adjective meaning stable/permanent
புனல்,WATERBODY,water
இள,O,adjective meaning young/gentle
வெயில்,NATURE,sunlight/ray
வளாவ,O,verb meaning surrounding
இருள்,NATURE,darkness
வளர்வு,O,noun meaning growing
என,O,quotative particle meaning thus
பொன்,O,noun meaning gold
புனை,O,adjective meaning adorned
உடுக்கையோன்,PERSON,Thirumāl with golden garments
புணர்ந்து,O,verb meaning together/with
அமர்,O,adjective meaning seated
நிலையே,O,noun with expletive meaning state/situation
நினைமின்,O,verb meaning think/meditate (plural imperative)
மாந்தீர்,PERSON,O people
கேண்மின்,O,verb meaning listen (plural imperative)
கமழ்,O,adjective meaning fragrant
சீர்,O,noun meaning greatness/beauty
சுனை,WATERBODY,spring/pond
எலாம்,O,pronoun meaning all (விகாரம் of எல்லாம்)
நீலம்,FLOWER,blue water lily
மலர,O,verb meaning to bloom
சுனை,WATERBODY,spring/pond
சூழ்,O,verb meaning surrounding
சினை,PLANT,branch
எலாம்,O,pronoun meaning all (விகாரம் of எல்லாம்)
செயலை,FLOWER,asoka tree flower
மலர,O,verb meaning to bloom
காய்,FRUIT,unripe fruit
கனி,FRUIT,ripe fruit
உறழ,O,verb meaning different/various
நனை,FLOWER,bud
வேங்கை,PLANT,vengai tree (kino tree)
ஒள்,O,adjective meaning bright
இணர்,FLOWER,cluster
மலர,O,verb meaning to bloom
மாயோன்,PERSON,Thirumāl
ஒத்த,O,past participle meaning resembling
இன்,O,adjective meaning sweet
நிலைத்தே,O,noun with expletive meaning state/condition
சென்று,O,verb meaning going
தொழுகல்லீர்,O,negative conditional verb meaning if you cannot worship
கண்டு,O,verb meaning seeing
பணிமின்மே,O,verb meaning worship humbly (with expletive)
இருங்குன்று,MOUNTAIN,Irunkundram
என்னும்,O,verb meaning called/named
பெயர்,O,noun meaning name
பரந்ததுவே,O,verb with expletive meaning spread
பெருங்கலி,O,adjective meaning with great roaring (ocean)
ஞாலத்து,PLACE,in the world
தொன்று,O,adverb meaning from ancient times
இயல்,O,noun meaning nature
புகழது,O,verb meaning has fame/is praised
கண்டு,O,verb meaning seeing
மயர்,O,noun meaning confusion
அறுக்கும்,O,verb meaning cutting/removing
காமக்,O,noun meaning love/loving
கடவுள்,DEITY,god
மக,ANIMAL,young one/child
முயங்கு,O,verb meaning embracing
மந்தி,ANIMAL,female monkey
வரை,MOUNTAIN,mountain
வரை,MOUNTAIN,mountain
பாய,O,verb meaning to leap/jump
முகிழ்,FLOWER,bud
மயங்கு,O,adjective meaning dense/abundant
முல்லை,FLOWER,jasmine
முறை,O,noun meaning tradition/virtue
நிகழ்வு,O,noun meaning occurrence/event
காட்ட,O,verb meaning to show/to express
மணி,OBJECT,sapphire/gem
மருள்,O,comparative particle meaning like
நல்,O,adjective meaning good/fine
நீர்ச்,O,noun meaning nature
சினை,PLANT,tree branch
மட,O,adjective meaning delicate
மயில்,BIRD,peacock
அகவ,O,verb meaning to sing/call
குருகு,PLANT,kurukkathi tree (Hiptage madablota)
இலை,PLANT,leaf
உதிர,O,verb meaning to drop
குயிலினம்,BIRD,cuckoo flock
கூவ,O,verb meaning to sing/call
பகர்,O,adjective meaning in perfect scales
குழல்,OBJECT,flute
பாண்டில்,OBJECT,cymbal
இயம்ப,O,verb meaning to sound
அகவுநர்,PROFESSION,singers
நா,O,noun meaning tongue
நவில்,O,verb meaning reciting/singing
பாடல்,O,noun meaning song
முழவு,OBJECT,drum
எதிர்ந்தன்ன,O,verb meaning like reverberating/echoing
சிலம்பின்,MOUNTAIN,on the mountain
சிலம்பு,O,noun meaning sound/echo
இசை,O,noun meaning music/sound
ஓவாது,O,negative verb meaning without break
ஒன்னார்க்,PERSON,enemies
கடந்து,O,verb meaning conquering
அட்டான்,PERSON,one who killed (Thirumāl)
கேழ்,O,noun meaning color/darkness
இருங்குன்று,MOUNTAIN,Irunkundram
poem16,,
கரையே,STRUCTURE,the shores/banks
கைவண்,O,adjective meaning benevolent/charitable
தோன்றல்,PERSON,king/lord
ஈகை,O,noun meaning charity/giving
போன்ம்,O,verb meaning like/resembling (with expletive)
என,O,quotative particle meaning thus
மைபடு,O,adjective meaning cloud-covered
சிலம்பின்,MOUNTAIN,from the mountains
கறியொடும்,PLANT,with pepper
சாந்தொடும்,OBJECT,with sandal paste
நெய்,O,noun meaning ghee/butter
குடை,O,verb meaning churning
