அமைதற்கு,O,verb meaning to console
அமைந்த,O,adjective meaning perfect or gracious
நம்,O,pronoun meaning my
காதலர்,PERSON,my lover
அமைவு,O,noun meaning harmony
இலர்,O,adjective meaning without
ஆகுதல்,O,verb meaning becoming
நோம்,O,verb meaning aches
என்,O,pronoun meaning my
நெஞ்சே,O,noun meaning heart (vocative)
**Poem 5**,,
அது,O,pronoun meaning that
கொல்,O,particle implying doubt
தோழி,PERSON,my friend
காம,O,love or desire
நோயே,O,noun meaning affliction or disease
வதி,BIRD,residing herons or egrets
குருகு,BIRD,herons or egrets
உறங்கும்,O,verb meaning sleeping
இன்,O,adjective meaning sweet
நிழல்,NATURE,sweet shade
புன்னை,PLANT,Indian Laurel tree
உடை,WATERBODY,breaking waves
திரை,WATERBODY,waves
திவலை,WATERBODY,water spray
அரும்பும்,O,verb meaning they put out buds
தீ,NATURE,sweet or pure
நீர்,WATERBODY,water
மெல்லம்,O,adjective meaning delicate
புலம்பன்,PERSON,lord of the delicate seashore
பிரிந்தென,O,since he has left
பல்லிதழ்,FLOWER,flowers with many petals
உண்கண்,O,eyes with kohl
பாடு,O,noun meaning sleep
ஒல்லாவே,O,verb meaning they do not agree
**Poem 6**,,
நள்ளென்றன்று,NATURE,with dense darkness
ஏ,O,expletive particle
சொல்,O,words
அவிந்து,O,verb meaning died down
இனிது,O,adverb meaning sweetly
அடங்கினர்,O,verb meaning they have slept
ஏ,O,expletive particle
மாக்கள்,PERSON,humans or family members
முனிவின்றி,O,without stress or malice
நனந்தலை,STRUCTURE,wide place
உலகமும்,STRUCTURE,the whole world
துஞ்சும்,O,verb meaning sleeps
ஓர்,O,adjective meaning alone
யான்,O,pronoun meaning I
மன்ற,O,particle implying certainty
துஞ்சாதேன்,O,verb meaning I am not sleeping
ஏ,O,expletive particle
**Poem 7**,,
வில்லோன்,WARRIOR,the man bearing a bow
காலன,O,on his feet
கழல்,OBJECT,warrior anklets
ஏ,O,expletive particle
தொடியோள்,PERSON,the young woman wearing bangles
மெல்லடி,O,delicate feet
மேலவும்,O,are on them
சிலம்பு,OBJECT,anklets
ஏ,O,expletive particle
நல்லோர்,PERSON,good people
யார்,O,pronoun meaning who
கொல்,O,particle implying doubt
அளியர்,O,adjective meaning they are pitiable
தாம்,O,expletive particle
ஏ,O,expletive particle
ஆரியர்,TRIBE,Aryans
கயிறாடு,PROFESSION,acrobats walking on a rope
பறையின்,OBJECT,like the drum
கால்,NATURE,due to the winds blowing
பொர,O,verb meaning blow against
கலங்கி,O,verb meaning tremble
வாகை,PLANT,Sirissa Tree
வெண்,PLANT,light colored seed pods
நெற்று,PLANT,seed pods
ஒலிக்கும்,O,verb meaning rattle
வேய்,PLANT,bamboo
பயில்,O,adjective meaning filled
அழுவம்,DESERT,forest or wasteland
முன்னியோர்,PERSON,those who are going
ஏ,O,expletive particle
**Poem 8**,,
கழனி,FIELD,agricultural field
மாஅத்து,FRUIT,of a mango tree
விளைந்து,O,verb meaning ripening
உகு,O,verb meaning dropping
தீம்,O,adjective meaning sweet
பழம்,FRUIT,fruits
பழன,WATERBODY,of a pond
வாளை,FISH,valai fish
கதூஉம்,O,verb meaning catches and bites
ஊரன்,PERSON,the man from such town
எம்,O,pronoun meaning our or my
இல்,STRUCTURE,at my place
பெருமொழி,O,great words
கூறி,O,verb meaning talking
தம்,O,pronoun meaning his own
இல்,STRUCTURE,in his house
கையும்,O,hands
காலும்,O,legs
தூக்கத்,O,to lift
தூக்கும்,O,verb meaning lifts
ஆடிப்,OBJECT,puppet
பாவை,OBJECT,reflection or image
போல,O,like
மேவன,O,verb meaning honors
செய்யும்,O,verb meaning does
தன்,O,pronoun meaning his
புதல்வன்,PERSON,son
தாய்க்கு,PERSON,to the mother
ஏ,O,expletive particle
**Poem 9**,,
யாய்,PERSON,woman with tolerant motherly nature
ஆகியளே,O,verb meaning she became
மாஅயோளே,PERSON,the dark colored woman
மடை,O,clasp
மாண்,O,adjective meaning fine
செப்பில்,OBJECT,in a box
தமிய,O,adverb meaning by themselves
வைகிய,O,verb meaning placed
பெய்யாப்,O,adjective meaning not worn
பூவின்,FLOWER,like flowers
மெய்,O,body
சாயினளே,O,verb meaning her body has wilted
பாசடை,PLANT,green leaves
நிவந்த,O,verb meaning rising above
கணைக்கால்,PLANT,thick-stemmed
நெய்தல்,FLOWER,blue or white waterlilies
இனமீன்,FISH,shoals of fish
இருங்கழி,WATERBODY,dark backwaters
ஓதம்,WATERBODY,floods or waves
மல்குதொறும்,O,whenever the water levels increase
கயம்,WATERBODY,ponds
மூழ்கு,O,verb meaning bathe
மகளிர்,PERSON,women
கண்ணின்,O,like eyes
மானும்,O,verb meaning they appear
தண்ணம்,O,adjective meaning cool and beautiful
துறைவன்,PERSON,lord of the seashore
கொடுமை,O,cruelty
நம்,O,pronoun meaning our
முன்,O,in front
நாணி,O,adjective meaning ashamed
கரப்பாடும்மே,O,verb meaning she hides it
**Poem 10**,,
யாய்,PERSON,she who is like a mother
ஆகியளே,O,verb meaning she became
விழவு,O,happiness or prosperity
முதலாட்டி,PERSON,she who brought joy
பயறு,FOOD,green gram lentil
போல்,O,like
இணர,FLOWER,in the clusters
பைந்தாது,FOOD,fresh pollen
படீஇயர்,O,for the pollen to fall on them
உழவர்,PROFESSION,farmers
வாங்கிய,O,verb meaning pulled or bent
கமழ்பூ,FLOWER,fragrant flowers
மென்,O,adjective meaning delicate
சினை,PLANT,delicate branches
காஞ்சி,PLANT,portia trees
ஊரன்,PERSON,man from town with kanchi trees
கொடுமை,O,cruelty
கரந்தனள்,O,verb meaning she hides
ஆகலின்,O,conjunction meaning so
நாணிய,O,adverb meaning with shame
வரும்,O,verb meaning he will come
ஏ,O,expletive particle
**Poem 11**,,
கோடு,OBJECT,conch shells
ஈர்,O,cutting and made
இலங்கு,O,adjective meaning bright
வளை,OBJECT,bangles
ஞெகிழ,O,verb meaning becoming loose
நாடொறும்,O,adverb meaning every day
பாடில,O,adjective meaning without sleep
கலிழும்,O,adjective meaning crying
கண்ணொடு,O,with eyes
புலம்பி,O,verb meaning being alone
ஈங்கு,O,adverb meaning here
இவண்,O,adverb meaning here
உறைதலும்,O,verb meaning to live
உய்குவம்,O,verb meaning let us escape
ஆங்கே,O,adverb meaning there
எழு,O,verb meaning wake up
இனி,O,adverb meaning now
வாழி,O,expletive particle
என்,O,pronoun meaning my
நெஞ்சே,O,noun meaning heart (vocative)
முனாது,O,in front of us
குல்லைக்,FLOWER,basil or cannabis garlands
கண்ணி,OBJECT,garlands
வடுகர்,TRIBE,Telugu speaking people
முனையது,REGION,in the place with enmity
பல்வேல்,WEAPON,Katti with many spears
கட்டி,KING,Katti the chieftain
நன்னாட்டு,REGION,fine country
உம்பர்,REGION,beyond
மொழிபெயர்,O,different language
தேஎத்தர்,PERSON,people of that nation
ஆயினும்,O,conjunction meaning even so
வழிபடல்,O,to go on that path
சூழ்ந்திசின்,O,verb meaning I have considered
அவருடை,O,pronoun meaning his
நாட்டு,REGION,to the country
ஏ,O,expletive particle
**Poem 12**,,
எறும்பி,ANIMAL,ant tunnels
அளையின்,STRUCTURE,like tunnels
குறும்பல்,O,adjective meaning many small
சுனைய,WATERBODY,with springs or ponds
உலைக்கல்,OBJECT,anvils of blacksmiths
அன்ன,O,like
பாறை,MOUNTAIN,on boulders
ஏறி,O,verb meaning climbing
கொடு,WEAPON,curved
வில்,WEAPON,bows
எயினர்,WARRIOR,Eyinar tribe warriors
பகழி,WEAPON,arrows
மாய்க்கும்,O,verb meaning they sharpen
கவலைத்து,O,noun meaning with forks
என்ப,O,verb meaning they say
அவர்,O,pronoun meaning he
சென்ற,O,verb meaning went
ஆறே,PATH,the path
அது,O,pronoun meaning that
மற்று,O,expletive particle
அவலம்,O,noun meaning worry
கொள்ளாது,O,verb meaning not worrying
நொதுமல்,O,adjective meaning harsh
கழறும்,O,verb meaning it taunts
இ,O,pronoun meaning this
அழுங்கல்,O,adjective meaning uproarious
ஊர்,STRUCTURE,town
ஏ,O,expletive particle
**Poem 13**,,
மாசு,O,noun meaning blemish
அற,O,adverb meaning without
கழீஇய,O,verb meaning washed
யானை,ANIMAL,like an elephant
போல,O,like
பெரும்,NATURE,heavy
பெயல்,NATURE,rain
உழந்த,O,verb meaning cleaned
இரும்,O,adjective meaning dark or large
பிணர்த்,O,adjective meaning rough
துறுகல்,MOUNTAIN,boulder
பைதல்,O,adjective meaning wet or cool
ஒரு,O,adjective meaning one
தலை,PLACE,a place
சேக்கும்,O,verb meaning was with me
நாடன்,PERSON,the man from such country
நோய்,O,noun meaning disease
தந்தனனே,O,verb meaning he gave
தோழி,PERSON,my friend
பசலை,O,pallor
ஆர்ந்த,O,verb meaning they have become yellow
நம்,O,pronoun meaning my
குவளை,FLOWER,blue waterlily
அம்,O,adjective meaning beautiful
கண்ணே,O,noun meaning eyes
**Poem 14**,,
அமிழ்து,FOOD,nectar
பொதி,O,verb meaning filled
செந்நா,O,red tongue
அஞ்ச,O,verb meaning to fear
வந்த,O,adjective meaning that causes
வார்ந்து,O,adverb meaning straight
இலங்கு,O,adjective meaning bright
வை,O,adjective meaning sharp
எயிற்று,ANIMAL,with sharp teeth
சின்மொழி,O,adjective meaning of few words
அரிவையை,PERSON,the young woman
பெறுக,O,verb meaning may I attain
தில்,O,particle signifying desire
அம்ம,O,expletive particle
பெற்றாங்கு,O,after attaining her
அறிக,O,verb meaning let the people know
தில்,O,particle signifying time
அம்ம,O,expletive particle
இவ்வூரே,STRUCTURE,this town
மறுகில்,STRUCTURE,in the streets
நல்லோள்,PERSON,good woman
கணவன்,PERSON,husband
இவன்,O,pronoun meaning he
என்று,O,conjunction meaning that
பல்லோர்,PERSON,many people
கூற,O,verb meaning when they talk
யாஅம்,O,pronoun meaning both of us
நாணுகம்,O,verb meaning we will be shy
சிறிது,O,adverb meaning a little bit
ஏ,O,expletive particle
**Poem 15**,,
பறைபட,OBJECT,as parai drums roared
பணிலம்,OBJECT,conch shells
ஆர்ப்ப,O,verb meaning created loud sounds
இறை,O,verb meaning staying
கொள்பு,O,verb meaning taking
தொன்,O,adjective meaning old and ancient
மூது,O,adjective meaning ancient
ஆலத்து,PLANT,banyan tree's
பொதியில்,STRUCTURE,under the tree in common grounds
தோன்றிய,O,verb meaning appeared
நாலூர்,STRUCTURE,four villages
கோசர்,TRIBE,Kosar tribe
நன்மொழி,O,good oaths
போல,O,like
வாயாகின்று,O,verb meaning this is the truth
ஏ,O,expletive particle
தோழி,PERSON,O friend
ஆய்,O,adjective meaning beautiful
கழல்,OBJECT,warrior anklets
சேய்,O,adjective meaning red
இலை,WEAPON,red tip
வெள்வேல்,WEAPON,white spear
விடலையொடு,WARRIOR,with the young man
தொகு,O,adjective meaning together
வளை,OBJECT,bangles
முன்கை,O,forearms
மடந்தை,PERSON,young woman
நட்பு,O,friendship or love
ஏ,O,expletive particle
**Poem 16**,,
உள்ளார்,O,verb meaning does he think
கொல்,O,particle implying doubt
ஓ,O,expletive particle
தோழி,PERSON,friend
கள்வர்,PROFESSION,thieves or highway robbers
தம்,O,pronoun meaning their
பொன்,WEAPON,iron
புனை,O,adjective meaning made
பகழி,WEAPON,arrows
செப்பங்கொண்மார்,O,verb meaning to clean them
உகிர்,O,fingernail ends
நுதி,O,tips
புரட்டும்,O,verb meaning they scratch
ஓசை,NATURE,sounds
போல,O,like
செங்கால்,BIRD,red-legged
பல்லி,ANIMAL,lizard
தன்,O,pronoun meaning its
துணை,ANIMAL,partner
பயிரும்,O,verb meaning calls
அம்,O,adjective meaning beautiful
கால்,PLANT,stems
கள்ளியங்,PLANT,kalli plants
காடு,DESERT,forest filled with kalli
இறந்தோர்,PERSON,one who went
ஏ,O,expletive particle
**Poem 17**,,
மாவென,O,as if the palm fronds were horses
மடலும்,VEHICLE,palm frond horses
ஊர்ப,O,verb meaning they will ride
பூவென,FLOWER,as signature flowers
குவி,O,adjective meaning pointed
முகிழ்,FLOWER,pointed buds
எருக்கங்கண்ணியும்,FLOWER,erukkam flower strands
சூடுப,O,verb meaning they will wear
மறுகின்,STRUCTURE,on the streets
ஆர்க்கவும்,O,verb meaning suffer ridicule
படுப,O,verb meaning they will suffer
பிறிதும்,O,adverb meaning even
ஆகுப,O,verb meaning they will court
காமம்,O,love
காழ்க்,O,verb meaning ripens
கொளினே,O,if it goes to seed
**Poem 18**,,
வேரல்,PLANT,bamboo
வேலி,STRUCTURE,fences
வேர்க்கோட்,PLANT,with clusters on the roots
பலவின்,FRUIT,of jackfruit trees
சாரல்,MOUNTAIN,mountain slopes
நாட,PERSON,O man from the mountain slopes
செவ்வியை,O,adjective meaning right or perfect
ஆகுமதி,O,verb meaning do the right thing
யார்,O,pronoun meaning who
அஃது,O,pronoun meaning that
அறிந்திசினோரே,O,verb meaning knows
சாரல்,MOUNTAIN,mountain slopes
சிறு,O,adjective meaning small
கோட்டு,PLANT,on the small branches
பெரும்பழம்,FRUIT,large jackfruits
தூங்கியாங்கு,O,like how they hang
இவள்,O,pronoun meaning her
உயிர்,O,life
தவ,O,adverb meaning very
சிறிது,O,adjective meaning short
காமம்,O,love
ஓ,O,expletive particle
பெரிது,O,adjective meaning large
ஏ,O,expletive particle
**Poem 19**,,
எவ்வி,KING,patron Evvi who was lost
இழந்த,O,verb meaning those who lost
வறுமை,O,noun meaning poverty
யாழ்ப்,OBJECT,lute
பாணர்,PROFESSION,lute bards
பூ,OBJECT,gold ornaments
இல்,O,adjective meaning without
வறுந்தலை,O,heads without adornments
போல,O,like
புல்லென்று,O,adjective meaning dull
இனைமதி,O,verb meaning may you become sad
வாழிய,O,expletive particle
நெஞ்சே,O,noun meaning heart (vocative)
மனை,STRUCTURE,in the house yard
மரத்து,PLANT,on the vine on the tree
எல்,NATURE,brightness
உறு,O,adjective meaning with
மௌவல்,FLOWER,fragrant wild jasmine
நாறும்,O,verb meaning fragrant
பல்,O,adjective meaning many
இருங்கூந்தல்,O,thick black hair (personification)
யாரளோ,PERSON,who is she
நமக்கு,O,pronoun meaning to us
ஏ,O,expletive particle
**Poem 20**,,
அருளும்,O,grace
அன்பும்,O,kindness
நீக்கி,O,verb meaning remove
துணை,PERSON,spouse or partner
துறந்து,O,verb meaning leaving
பொருள்வயின்,O,to earn wealth
பிரிவோர்,PERSON,those who separate
உரவோர்,O,adjective meaning if they are intelligent
ஆயின்,O,conjunction meaning if
உரவோர்,O,adjective meaning the intelligent one
உரவோர்,O,adjective meaning intelligent
ஆக,O,verb meaning let him be
மடவம்,O,adjective meaning let us be the stupid ones
ஆக,O,verb meaning let us be
மடந்தை,PERSON,naive or tender woman
நாம்,O,pronoun meaning we
ஏ,O,expletive particle
Word,Entity,Explanation
**Poem 21**,,
வண்டுபட,INSECT,bees falling or swarming
ததைந்த,O,verb meaning blossomed densely
கொடி,PLANT,long strands of flower bunches
இணர்,FLOWER,flower bunches
இடையிடுபு,O,verb meaning placed between
பொன்,OBJECT,gold
செய்,O,verb meaning made of
புனை,O,adjective meaning beautiful
இழை,CLOTHING,jewels
கட்டிய,O,verb meaning tied in hair
மகளிர,PERSON,women
கதுப்பின்,O,like their hair
தோன்றும்,O,verb meaning appearing
புதுப்,FLOWER,fresh
பூங்கொன்றை,FLOWER,laburnum flowers
கானம்,FOREST,forest
கார்,NATURE,rainy season
என,O,conjunction meaning that
கூறினும்,O,verb meaning even if it's said
யானோ,O,pronoun meaning I
தேறேன்,O,verb meaning I do not believe it
அவர்,PERSON,my lover
பொய்,O,lies
வழங்கலர்,O,verb meaning he does not tell
ஏ,O,expletive particle
**Poem 22**,,
நீர்,NATURE,tears
வார்,O,verb meaning dripping
கண்ணை,O,with tear-dripping eyes
நீ,O,pronoun meaning you
இவண்,O,adverb meaning here
ஒழிய,O,verb meaning staying here
யாரோ,PERSON,who can leave you
பிரிகிற்பவரே,PERSON,the one who can leave
சாரல்,MOUNTAIN,mountain slopes
சிலம்பு,MOUNTAIN,mountain
அணி,O,adjective meaning adorned
கொண்ட,O,verb meaning made beautiful
வலம்,O,adjective meaning right
சுரி,O,adjective meaning whorled
மராஅத்து,FLOWER,kadampam flowers
வேனில்,NATURE,summer
அம்,O,adjective meaning beautiful
சினை,PLANT,tree branches
கமழும்,O,verb meaning fragrant
தேம்,FOOD,bee-swarming fragrance
ஊர்,O,verb meaning spreading
ஒண்ணுதல்,PERSON,O woman with bright forehead
நின்னொடும்,O,pronoun meaning with you
செலவு,O,verb meaning he will leave
ஏ,O,expletive particle
**Poem 23**,,
அகவன்,PROFESSION,diviner woman who invites god
மகளே,PERSON,O diviner woman
அகவன்,PROFESSION,diviner woman
மகளே,PERSON,O diviner woman
மனவு,OBJECT,tiny conch shells
கோப்பு,O,strung or tied together
அன்ன,O,like
நல்,O,adjective meaning nice
நெடுங்கூந்தல்,O,long hair
அகவன்,PROFESSION,diviner woman
மகளே,PERSON,O diviner woman
பாடுக,O,verb meaning sing
பாட்டே,O,noun meaning the song
இன்னும்,O,adverb meaning again
பாடுக,O,verb meaning sing
பாட்டு,O,noun meaning the song
அவர்,O,pronoun meaning his
நன்,O,adjective meaning fine
நெடும்,O,adjective meaning tall
குன்றம்,MOUNTAIN,his mountains
பாடிய,O,verb meaning you sang
பாட்டு,O,noun meaning the song
ஏ,O,expletive particle
**Poem 24**,,
கருங்கால்,PLANT,dark-trunked
வேம்பின்,PLANT,of the neem trees
ஒண்,FLOWER,bright
பூ,FLOWER,flowers
யாணர்,NATURE,abundant new blossoms
என்,O,pronoun meaning my
ஐ,PERSON,lover or man
இன்றியும்,O,without
கழிவது,O,verb meaning will they pass
கொல்,O,particle implying doubt
ஓ,O,expletive particle
ஆற்று,WATERBODY,near the river
அயல்,PLACE,nearby
எழுந்த,O,verb meaning growing
வெண்கோட்டு,PLANT,with white branches
அதவத்து,PLANT,of the fig tree
எழு,ANIMAL,seven
குளிறு,ANIMAL,crabs
மிதித்த,O,verb meaning stepped on
ஒரு,O,adjective meaning one
பழம்,FRUIT,fruit
போல,O,like
குழைய,O,verb meaning for me to be distressed
கொடியோர்,PERSON,cruel people
நா,O,tongues
ஏ,O,expletive particle
காதலர்,PERSON,my lover
அகல,O,verb meaning since he has gone
கல்லென்றவ்வே,O,verb meaning they are noisy
**Poem 25**,,
யாரும்,O,pronoun meaning nobody
இல்லைத்,O,verb meaning was not there
தானே,O,pronoun meaning he
கள்வன்,PERSON,the thief who was there
தான்,O,pronoun meaning he
அது,O,pronoun meaning that
பொய்ப்பின்,O,verb meaning if he does not keep promise
யான்,O,pronoun meaning I
எவன்,O,pronoun meaning what
செய்கோ,O,verb meaning can I do
தினைத்,FOOD,millet
தாள்,PLANT,millet stalks
அன்ன,O,like
சிறு,O,adjective meaning thin
பசுங்கால,O,with green legs
ஒழுகு,WATERBODY,running water
நீர்,WATERBODY,stream
ஆரல்,FISH,eels
பார்க்கும்,O,verb meaning looking for
குருகும்,BIRD,heron was there
உண்டு,O,verb meaning was there
தான்,O,pronoun meaning he
மணந்த,O,verb meaning when he took me
ஞான்று,O,on that day
ஏ,O,expletive particle
**Poem 26**,,
அரும்பு,FLOWER,buds
அற,O,adverb meaning totally
மலர்ந்த,FLOWER,blossomed
கருங்கால்,PLANT,dark colored trunks
வேங்கை,FLOWER,kino trees
மேக்கு,O,above
எழு,O,verb meaning rising
பெருஞ்சினை,PLANT,large branches
இருந்த,O,verb meaning were there
தோகை,BIRD,peacocks
பூக்கொய்,PERSON,women who pluck flowers
மகளிரின்,PERSON,like the women
தோன்று,O,verb meaning they appear
நாடன்,PERSON,the man from such country
தகாஅன்,O,adjective meaning not a fit
போல,O,like
தான்,PERSON,the fortune teller
தீது,O,adjective meaning ill
மொழியினும்,O,verb meaning even if she has said
தன்,O,pronoun meaning his
கண்,O,eyes
கண்டது,O,what his eyes had seen
பொய்க்குவது,O,verb meaning he will lie
அன்று,O,adverb meaning not
ஏ,O,expletive particle
தேன்,FRUIT,sweet mango fruits
கொக்கு,PLANT,mango tree
அருந்தும்,O,verb meaning it eats
முள்,ANIMAL,sharp
எயிற்று,ANIMAL,with sharp teeth
துவர்,O,adjective meaning red
வாய்,O,mouth
வரை,MOUNTAIN,in the mountain
ஆடு,O,verb meaning playing
வன்,O,adjective meaning strong
பறழ்,ANIMAL,strong child
தந்தை,ANIMAL,father
கடுவனும்,ANIMAL,also the male monkey
அறியும்,O,verb meaning he knows
அக்கொடியோனை,PERSON,that cruel man
ஏ,O,expletive particle
**Poem 27**,,
கன்றும்,ANIMAL,the calf
உண்ணாது,O,verb meaning does not drink
கலத்தினும்,OBJECT,into the bowl
படாது,O,verb meaning it does not fall
நல்,O,adjective meaning fine
ஆன்,ANIMAL,cow
தீம்பால்,FOOD,sweet milk
நிலத்து,NATURE,on the ground
உக்காஅங்கு,O,like it falls on the ground
எனக்கும்,O,pronoun meaning to me
ஆகாது,O,verb meaning it does not benefit
என்,O,pronoun meaning my
ஐக்கும்,PERSON,to my lover
உதவாது,O,verb meaning it does not benefit
பசலை,O,pallor
உணீஇயர்,O,verb meaning it desires to ruin
வேண்டும்,O,verb meaning it needs to
திதலை,O,faded spots
அல்குல்,O,on my loins
என்,O,pronoun meaning my
மாமைக்,O,dark hued beauty
கவினே,O,noun meaning beauty
**Poem 28**,,
முட்டுவேன்,O,verb meaning will I hit
கொல்,O,particle implying doubt
தாக்குவேன்,O,verb meaning will I attack
கொல்,O,particle implying doubt
ஓரேன்,O,verb meaning I do not know
யானும்,O,pronoun meaning I
ஓர்,O,adjective meaning one
பெற்றி,O,noun meaning pretext
மேலிட்டு,O,verb meaning using
ஆஅ,O,sound of screaming
ஒல்லென,O,sound of screaming
கூவுவேன்,O,verb meaning will I shout
கொல்,O,particle implying doubt
அலமரல்,O,adjective meaning swirling
அசை,O,adjective meaning moving
வளி,NATURE,wind or breeze
அலைப்ப,O,verb meaning causing distress
என்,O,pronoun meaning my
உயவு,O,adjective meaning painful
நோய்,O,noun meaning disease
அறியாது,O,verb meaning not understanding
துஞ்சும்,O,verb meaning sleeping
ஊர்க்கு,STRUCTURE,to the sleeping town
ஏ,O,expletive particle
**Poem 29**,,
நல்,O,adjective meaning good
உரை,O,words
இகந்து,O,verb meaning removing
புல்,O,adjective meaning worthless
உரை,O,words
தாஅய்,O,verb meaning spreading
பெயல்,NATURE,pouring rain
நீர்க்கு,WATERBODY,to the rain water
ஏற்ற,O,verb meaning accepted
பசுங்கலம்,OBJECT,unfired clay pot
போல,O,like
உள்ளம்,O,heart or mind
தாங்கா,O,verb meaning unable to contain
வெள்ளம்,NATURE,flood
நீந்தி,O,verb meaning swimming
அரிது,O,adjective meaning hard to get
அவா,O,noun meaning desire
உற்றனை,O,verb meaning you desired
நெஞ்சே,O,noun meaning heart (vocative)
நன்றும்,O,adverb meaning very
பெரிது,O,adjective meaning great
ஆல்,O,expletive particle
அம்ம,O,expletive particle
நின்,O,pronoun meaning your
பூசல்,O,noun meaning struggles
உயர்,O,adjective meaning tall
கோட்டு,PLANT,tall branches
மகவுடை,ANIMAL,with a baby
மந்தி,ANIMAL,female monkey
போல,O,like
அகன்,O,adverb meaning in mind
உற,O,adverb meaning accepting
தழீஇ,O,verb meaning embracing
கேட்குநர்,PERSON,one who will listen
பெறின்,O,verb meaning if obtained
ஏ,O,expletive particle
**Poem 30**,,
கேட்டிசின்,O,verb meaning listen
வாழி,O,expletive particle
தோழி,PERSON,O friend
அல்கல்,NATURE,at night
பொய்வலாளன்,PERSON,the man who is a liar
மெய்யுறல்,O,embracing my body
மரீஇய,O,verb meaning hugging
வாய்த்தகை,O,noun meaning seemed like truth
பொய்க்கனா,O,false dream
மருட்ட,O,verb meaning confused
ஏற்று,O,verb meaning woke up realizing
எழுந்து,O,verb meaning rising
அமளி,OBJECT,mattress
தைவந்தனன்,O,verb meaning I still caressed
ஏ,O,expletive particle
குவளை,FLOWER,blue waterlily
வண்டுபட,INSECT,attacked by bees
மலரின்,FLOWER,like a flower
சாஅய்,O,verb meaning growing lean
தமியேன்,O,adjective meaning lonely me
மன்ற,O,particle implying certainty
அளியேன்,O,adjective meaning I am pitiful
யான்,O,pronoun meaning I
ஏ,O,expletive particle
**Poem 31**,,
மள்ளர்,WARRIOR,warriors
குழீஇய,O,verb meaning gathered
விழவினானும்,STRUCTURE,in the festival
மகளிர்,PERSON,women
தழீஇய,O,verb meaning hugging
துணங்கையானும்,O,in the thunangai dances
யாண்டும்,O,adverb meaning those places
காணேன்,O,verb meaning I cannot find
மாண்டக்கோனை,PERSON,my esteemed noble man
யானும்,O,pronoun meaning I
ஓர்,O,adjective meaning a
ஆடுகள,O,noun meaning dancer
மகளே,PERSON,I am a dancer
என்,O,pronoun meaning my
கைக்,O,hands
கோடு,OBJECT,conch shells
ஈர்,O,cutting and made
இலங்கு,O,adjective meaning bright
வளை,OBJECT,bangles
நெகிழ்த்த,O,verb meaning made them loose
பீடுகெழு,O,adjective meaning with pride
குரிசிலும்,PERSON,the lord
ஓர்,O,adjective meaning a
ஆடுகள,O,noun meaning dancer
